,x,y
node1,1467.5859,1356.7732
node2,1625.3108,1399.9866
node3,1795.7603,1407.5464
node4,1958.8802,1422.2465
node5,2205.3284,1436.4248
node6,2499.0774,1392.4318
node7,2775.6072,1238.5308
node8,2940.695,1116.84
node9,3088.2,1013.1662
node10,3273.575,934.3999
node11,3450.4016,838.5124
node12,3613.2827,775.9896
node13,3768.9187,709.4566
node14,3955.872,702.5526
node15,4136.071,702.4835
node16,4321.941,684.5866
node17,4522.5405,713.7951
node18,4730.5107,762.6786
node19,4989.8213,723.3666
node20,5223.2935,600.7769
node21,5433.644,521.4646
node22,5600.285,446.2894
node23,5773.7812,460.5636
node24,5983.553,499.4642
node25,6168.898,443.5244
node26,6356.869,399.283
node27,6601.7983,357.5367
node28,6845.8726,390.81
node29,7095.9614,384.3895
node30,7276.6816,498.9633
node31,7445.0913,636.6052
node32,7635.092,727.3836
node33,1338.023,1419.4572
node34,1520.8656,1523.6318
node35,1741.5192,1558.2268
node36,1957.3154,1572.3573
node37,2178.8938,1575.9928
node38,2449.108,1540.6564
node39,2740.9143,1417.2352
node40,2962.3054,1311.9314
node41,3149.2776,1224.7604
node42,3330.5256,1165.4513
node43,3492.5327,1095.2488
node44,3649.286,999.3641
node45,3812.8833,945.8272
node46,3992.28,979.8981
node47,4150.955,961.5276
node48,4330.9873,970.0219
node49,4542.549,964.2296
node50,4771.227,987.0894
node51,5008.4004,950.5016
node52,5257.7744,877.3586
node53,5472.721,789.981
node54,5629.367,720.6959
node55,5810.7646,721.8968
node56,6000.2554,746.361
node57,6190.739,724.0277
node58,6383.125,731.8139
node59,6607.8076,750.4494
node60,6839.7666,790.4838
node61,7070.921,772.1268
node62,7267.8794,830.102
node63,7501.658,900.8206
node64,7715.8975,918.7931
node65,1172.7288,1487.698
node66,1397.9259,1619.8356
node67,1654.8359,1691.7126
node68,1911.9604,1717.143
node69,2165.1404,1726.3042
node70,2412.894,1678.9506
node71,2692.6143,1597.5825
node72,2933.6145,1509.5621
node73,3140.8176,1450.8899
node74,3342.6445,1381.9786
node75,3503.4353,1325.6559
node76,3664.4832,1283.3612
node77,3848.954,1245.8217
node78,4010.9805,1208.6412
node79,4164.9253,1209.9188
node80,4360.217,1215.883
node81,4574.269,1224.79
node82,4803.576,1205.2556
node83,5033.1533,1181.0042
node84,5258.0474,1135.6412
node85,5477.6133,1052.243
node86,5655.7544,1005.4045
node87,5845.488,988.2629
node88,6040.145,999.7551
node89,6230.258,1012.9268
