,x,y
node1,1457.3156,1316.8949
node2,1532.5061,1353.3844
node3,1616.849,1374.6742
node4,1701.3774,1370.9303
node5,1791.1038,1363.4281
node6,1875.684,1373.4823
node7,1949.7644,1382.7955
node8,2040.6694,1371.3005
node9,2156.6472,1390.6619
node10,2270.6162,1402.3518
node11,2448.0593,1390.1135
node12,2602.4424,1303.5054
node13,2727.3337,1211.6445
node14,2832.3987,1155.442
node15,2900.1877,1100.5366
node16,2971.8071,1042.0892
node17,3039.3457,994.0342
node18,3125.3586,944.2622
node19,3225.25,900.6082
node20,3312.032,860.9551
node21,3399.4355,811.4233
node22,3482.119,765.138
node23,3564.5627,748.9866
node24,3647.6177,726.7742
node25,3735.433,687.0391
node26,3818.173,656.8616
node27,3914.9128,636.7939
node28,4009.2375,652.6876
node29,4092.7373,650.7118
node30,4182.052,652.9248
node31,4270.764,622.3161
node32,4373.2603,627.9144
node33,4474.338,655.243
node34,4576.746,688.4209
node35,4673.6084,713.8941
node36,4784.1724,716.0794
node37,4910.8486,703.0636
node38,5029.664,682.6043
node39,5131.37,621.4978
node40,5257.375,530.8004
node41,5367.4873,498.453
node42,5444.697,409.6407
node43,5529.2305,359.3491
node44,5626.968,406.4742
node45,5713.962,389.7908
node46,5802.5947,452.4782
node47,5903.668,483.6552
node48,6009.3687,457.8714
node49,6097.937,443.0802
node50,6180.7666,396.0034
node51,6261.2236,336.3846
node52,6356.048,308.7128
node53,6479.4155,309.1586
node54,6621.829,226.4706
node55,6753.3857,226.7412
node56,6889.6934,314.0806
node57,7030.6343,320.7582
node58,7136.38,297.1458
node59,7219.7354,396.2667
node60,7312.371,446.3595
node61,7382.074,550.9688
node62,7495.797,602.5374
node63,7577.3105,663.7074
node64,7659.4224,678.2913
node65,1399.3165,1359.0741
node66,1479.1062,1414.0974
node67,1580.6691,1437.8219
node68,1664.6393,1446.1929
node69,1766.8768,1447.4021
node70,1863.0085,1472.302
node71,1937.9226,1474.4064
node72,2054.079,1486.0574
node73,2168.5273,1493.867
node74,2287.4478,1485.185
node75,2431.2349,1453.9652
node76,2589.9373,1394.9048
node77,2736.4084,1327.8704
node78,2845.5786,1260.2588
node79,2932.8096,1195.5658
node80,3005.9617,1154.5983
node81,3081.1624,1090.8408
node82,3175.8247,1075.8422
node83,3262.023,1017.9915
node84,3362.7231,993.1117
node85,3436.9497,928.7499
node86,3522.87,893.8476
node87,3595.2395,856.5928
node88,3676.8992,845.7677
node89,3744.726,783.3352
node90,3835.1,756.1455
node91,3932.7795,768.1122
node92,4018.3867,807.0774
node93,4099.8843,796.3622
node94,4188.7056,811.4262
node95,4266.481,785.391
node96,4370.6533,767.813
node97,4482.1597,778.3618
node98,4583.695,814.8172
node99,4690.9727,838.421
node100,4795.6,844.8773
node101,4926.557,821.8037
node102,5047.4053,793.8524
node103,5139.8784,728.4056
node104,5309.2617,653.5254
node105,5406.832,647.3142
node106,5470.4746,598.7027
node107,5561.057,520.3844
node108,5646.376,557.9009
node109,5724.4595,516.7642
node110,5814.976,577.0542
node111,5919.621,604.1006
node112,6016.684,589.3293
node113,6105.2812,572.204
node114,6195.5337,573.5112
node115,6268.51,517.2445
node116,6379.076,522.7646
node117,6495.7397,528.3972
node118,6626.28,512.9516
node119,6751.8887,504.7215
node120,6858.1226,546.8106
node121,7002.862,531.0088
node122,7106.0625,462.022
node123,7200.036,549.5176
node124,7287.229,617.2448
node125,7360.6577,704.1551
node126,7452.4326,734.7046
node127,7586.536,779.879
node128,7690.8794,796.6042
node129,1330.8966,1381.9062
node130,1410.2738,1454.6255
node131,1524.0356,1502.5579
node132,1614.397,1521.24
node133,1732.4076,1533.7645
node134,1848.6025,1544.4683
node135,1929.4966,1551.4244
node136,2049.4075,1565.958
node137,2152.9182,1564.8245
node138,2273.6702,1553.3618
node139,2420.1611,1527.6936
node140,2578.2756,1478.6514
node141,2719.052,1412.7784
node142,2836.458,1366.1768
node143,2938.1958,1327.7943
node144,3021.9722,1264.9559
node145,3112.3782,1239.826
node146,3212.9368,1193.5427
node147,3300.5833,1162.983
node148,3383.8037,1121.925
node149,3462.2688,1089.576
node150,3547.7373,1039.3793
node151,3623.7769,997.2198
node152,3705.828,967.7722
node153,3769.2893,961.627
node154,3879.6836,950.2166
node155,3961.3655,961.0623
node156,4033.972,948.2297
node157,4113.677,956.7438
node158,4196.206,948.738
node159,4277.07,961.0143
node160,4376.939,956.588
node161,4491.9795,958.3109
node162,4602.153,948.7119
node163,4704.748,959.1606
node164,4817.3594,963.2853
node165,4940.6465,944.7393
node166,5058.0996,914.6144
node167,5169.1245,906.7128
node168,5333.331,839.9836
node169,5423.077,777.6728
node170,5502.94,751.9505
node171,5578.751,727.3392
node172,5660.9023,715.2176
node173,5743.7695,718.3729
node174,5834.5083,716.124
node175,5931.024,713.1273
node176,6023.737,723.2334
node177,6125.51,717.2976
node178,6213.0376,716.9958
node179,6301.0034,718.2362
node180,6404.1064,711.3262
node181,6503.877,722.0735
node182,6629.5947,729.9616
node183,6754.437,734.4775
node184,6883.594,766.9436
node185,6998.3784,760.6062
node186,7075.104,789.7132
node187,7185.948,807.7576
node188,7283.7095,815.1142
node189,7373.3857,828.4054
node190,7503.0786,882.9352
node191,7653.149,897.5394
node192,7748.9766,883.1125
node193,1248.8533,1405.814
node194,1347.7701,1490.8016
node195,1465.2754,1553.6136
node196,1563.0962,1582.9008
node197,1697.4976,1593.8495
node198,1819.0977,1604.0802
node199,1930.7352,1615.2987
node200,2030.1066,1625.4531
node201,2131.6382,1628.8723
node202,2275.601,1622.0511
node203,2403.8196,1598.716
node204,2541.017,1563.6395
node205,2692.6877,1517.9102
node206,2831.37,1452.9
node207,2925.0952,1413.7468
node208,3019.0642,1369.385
node209,3118.1826,1344.1901
node210,3216.1243,1300.9229
node211,3312.508,1259.8463
node212,3398.2112,1229.1241
node213,3473.8823,1194.4857
node214,3552.9763,1161.1506
node215,3628.036,1129.6964
node216,3713.5432,1082.6438
node217,3794.6753,1087.3488
node218,3894.4883,1078.7311
node219,3965.4895,1075.3591
node220,4038.134,1077.4642
node221,4117.988,1082.3062
node222,4202.6846,1065.4149
node223,4295.1,1063.7467
node224,4393.9595,1072.2119
node225,4498.066,1066.4463
node226,4616.4707,1064.7803
node227,4724.3438,1073.3207
node228,4829.5874,1077.642
node229,4953.0024,1038.5189
node230,5059.8735,1038.6444
node231,5182.826,1009.1481
node232,5302.427,973.778
node233,5419.8813,913.1129
node234,5508.053,871.9333
node235,5580.6846,839.0305
node236,5668.762,843.9666
node237,5761.362,828.5635
node238,5850.495,839.409
node239,5946.044,834.496
node240,6043.414,849.0594
node241,6141.897,842.5234
node242,6231.0215,839.8221
node243,6318.2446,840.9907
node244,6413.541,842.6646
node245,6536.1714,866.484
node246,6656.661,884.8489
node247,6771.895,890.9435
node248,6891.4233,904.1514
node249,6998.8975,930.4936
node250,7090.9097,926.5063
node251,7194.7505,951.589
node252,7296.877,954.2405
node253,7414.321,974.2716
node254,7559.968,1000.9925
node255,7669.244,997.4992
node256,7773.756,981.4741
node257,1174.3065,1458.0922
node258,1258.6088,1531.2803
node259,1385.6487,1604.291
node260,1504.2148,1639.7552
node261,1656.0146,1671.0277
node262,1783.4965,1687.6102
node263,1906.7625,1707.176
node264,2025.169,1707.4656
node265,2127.2405,1716.998
node266,2250.532,1703.0704
node267,2385.8384,1674.1445
node268,2514.2917,1646.0435
node269,2670.537,1595.245
node270,2803.1064,1554.0282
node271,2909.0913,1523.1301
node272,3007.215,1475.205
node273,3109.298,1455.49
node274,3217.1895,1423.895
node275,3311.9844,1375.5792
node276,3395.8203,1356.8212
node277,3476.7395,1328.9812
node278,3558.74,1305.3035
node279,3637.9084,1282.4723
node280,3715.1653,1243.2618
node281,3804.538,1227.7247
node282,3903.2712,1214.0524
node283,3982.0017,1207.7758
node284,4054.2449,1208.4897
node285,4124.863,1204.2579
node286,4212.0156,1199.1963
node287,4308.036,1186.2172
node288,4403.925,1207.4791
node289,4510.395,1211.2175
node290,4622.4307,1201.2842
node291,4738.586,1192.2632
node292,4845.2866,1194.9752
node293,4961.1616,1176.3729
node294,5067.622,1157.3107
node295,5177.54,1134.925
node296,5292.324,1109.7513
node297,5415.6187,1064.3964
node298,5497.4478,1027.9011
node299,5590.116,1007.4014
node300,5684.1494,993.0921
node301,5774.563,975.0426
node302,5879.3735,968.9427
node303,5976.946,983.6453
node304,6067.5586,1002.8335
node305,6157.0996,983.9679
node306,6257.53,1003.8663
node307,6350.8877,1004.587
node308,6462.1006,1015.5497
node309,6575.2114,1034.5402
node310,6688.941,1043.127
node311,6800.4976,1053.9355
node312,6923.408,1065.4384
node313,7024.4863,1077.7
node314,7116.0073,1082.3324
node315,7212.9927,1099.8254
node316,7321.6055,1098.8884
node317,7471.288,1125.8175
node318,7602.054,1116.5875
node319,7738.0806,1097.9122
node320,7856.5273,1059.2158
node321,1086.7314,1478.371
node322,1170.564,1560.7532
node323,1314.6768,1650.8872
node324,1455.4517,1690.802
node325,1616.6315,1737.0386
node326,1742.243,1760.0452
node327,1878.461,1781.09
node328,1988.6,1769.2242
node329,2110.71,1774.811
node330,2222.7622,1771.9832
node331,2362.8726,1756.3672
node332,2485.138,1738.2628
node333,2629.8328,1691.2328
node334,2770.725,1637.8638
node335,2888.1423,1615.2936
node336,3003.1438,1572.1844
node337,3112.431,1562.5052
node338,3207.3135,1536.7316
node339,3312.267,1485.0574
node340,3399.1665,1457.9027
node341,3474.6233,1432.0188
node342,3568.4397,1411.004
node343,3643.1697,1399.3762
node344,3720.68,1373.1285
node345,3823.4563,1368.0656
node346,3902.3923,1344.4231
node347,3986.069,1318.863
node348,4062.0356,1313.075
node349,4141.8076,1311.4894
node350,4235.4263,1327.9747
node351,4329.4277,1324.066
node352,4428.778,1338.596
node353,4522.3315,1341.9779
node354,4618.511,1331.9595
node355,4742.805,1313.8037
node356,4870.4956,1293.1615
node357,4979.078,1295.0933
node358,5073.084,1266.5608
node359,5182.6045,1257.9255
node360,5279.5503,1226.5458
node361,5404.8105,1191.5737
node362,5510.099,1163.5852
node363,5596.2456,1156.2021
node364,5695.309,1138.4635
node365,5788.7207,1139.6682
node366,5881.8745,1132.9078
node367,5994.411,1136.347
node368,6094.283,1140.8103
node369,6179.911,1160.0887
node370,6282.113,1162.4528
node371,6374.8506,1180.1984
node372,6480.428,1182.4945
node373,6585.9673,1180.667
node374,6707.807,1191.214
node375,6830.207,1205.9344
node376,6941.605,1212.2522
node377,7039.7856,1200.0029
node378,7142.49,1208.7488
node379,7241.34,1229.9567
node380,7358.891,1234.9845
node381,7509.174,1246.0951
node382,7652.335,1227.3727
node383,7798.278,1202.2045
node384,7927.521,1147.8699
node385,1012.1436,1528.5664
node386,1091.7588,1601.7772
node387,1269.9552,1699.6322
node388,1399.1158,1755.7108
node389,1580.8873,1799.7484
node390,1717.1917,1815.191
node391,1853.9408,1844.4868
node392,1972.2378,1850.712
node393,2084.923,1857.9318
node394,2176.3184,1837.1176
node395,2326.0996,1821.6014
node396,2474.3948,1799.4054
node397,2613.1582,1773.3252
node398,2744.0115,1743.7917
node399,2873.17,1701.7196
node400,2981.7869,1674.0764
node401,3098.0833,1655.0059
node402,3189.676,1629.7452
node403,3289.65,1613.3379
node404,3383.0725,1558.1356
node405,3471.703,1539.344
node406,3559.8083,1519.5311
node407,3644.1516,1494.2904
node408,3733.4304,1481.4185
node409,3827.078,1471.3164
node410,3900.5608,1455.0875
node411,3989.5747,1425.747
node412,4071.204,1422.9924
node413,4158.014,1424.0175
node414,4253.4,1425.707
node415,4357.3994,1426.713
node416,4438.9365,1437.1775
node417,4543.3535,1438.4042
node418,4645.5728,1438.2584
node419,4754.113,1428.5101
node420,4864.2217,1410.4375
node421,4973.707,1391.4626
node422,5072.1875,1366.5509
node423,5184.047,1345.2262
node424,5291.4487,1329.4816
node425,5395.0186,1307.5138
node426,5499.4346,1281.8418
node427,5600.955,1259.9397
node428,5698.859,1259.2087
node429,5805.175,1239.533
node430,5905.094,1258.1108
node431,6022.4673,1271.1793
node432,6117.0137,1275.7074
node433,6210.9233,1296.5037
node434,6300.2246,1289.7245
node435,6402.1313,1313.0969
node436,6490.5127,1309.0968
node437,6610.0366,1298.2811
node438,6739.068,1320.4161
node439,6856.8286,1329.3977
node440,6958.3574,1339.2548
node441,7058.045,1332.6525
node442,7186.251,1342.8848
node443,7286.882,1339.5885
node444,7395.152,1347.3638
node445,7538.1113,1349.0549
node446,7698.4766,1327.264
node447,7867.049,1282.9874
node448,7999.196,1225.3545
node449,913.908,1547.4617
node450,982.1291,1622.3175
node451,1210.3491,1758.4708
node452,1339.2001,1798.0436
node453,1497.6621,1831.3046
node454,1705.3146,1876.2576
node455,1822.3824,1906.0596
node456,1928.1746,1904.2249
node457,2050.6077,1905.1654
node458,2150.5237,1891.6722
node459,2273.1475,1895.1934
node460,2426.2507,1867.4987
node461,2593.2756,1839.3008
node462,2723.3105,1826.805
node463,2856.178,1806.5208
node464,2985.3428,1781.4928
node465,3078.722,1750.4606
node466,3179.025,1723.3846
node467,3277.8594,1691.0654
node468,3366.6272,1659.7498
node469,3473.4229,1628.61
node470,3565.725,1629.4032
node471,3647.5945,1603.5641
node472,3730.1367,1599.2797
node473,3824.018,1583.4753
node474,3900.1565,1546.3833
node475,3989.5747,1526.9644
node476,4088.953,1514.4531
node477,4168.421,1510.5491
node478,4271.7393,1533.1658
node479,4361.1074,1532.9214
node480,4453.4,1530.4327
node481,4555.1357,1536.1992
node482,4655.1426,1526.3528
node483,4757.861,1513.1626
node484,4859.3906,1495.1528
node485,4970.38,1475.8016
node486,5074.731,1452.4905
node487,5189.3105,1433.563
