,x,y
node1,1480.5764,1420.354
node2,1752.9521,1461.0363
node3,2055.5903,1469.1583
node4,2519.3237,1407.789
node5,2911.847,1204.7441
node6,3174.1526,1049.0554
node7,3455.6824,910.4083
node8,3704.493,798.916
node9,3979.5037,777.9154
node10,4267.5405,774.057
node11,4597.616,790.3784
node12,5004.7637,764.5144
node13,5400.2236,615.3766
node14,5659.726,514.1841
node15,5955.7993,557.6261
node16,6257.4336,508.9744
node17,6615.627,479.6206
node18,7011.143,510.5064
node19,7301.173,627.4185
node20,7596.273,777.1412
node21,1241.1724,1524.2485
node22,1606.3247,1655.0009
node23,2009.9114,1687.435
node24,2418.844,1642.1088
node25,2853.515,1498.6041
node26,3199.8713,1376.7943
node27,3481.2424,1273.601
node28,3745.9924,1175.6578
node29,4024.7576,1151.567
node30,4301.191,1149.6277
node31,4651.841,1141.5989
node32,5028.164,1118.7184
node33,5395.4976,1015.0876
node34,5682.841,901.1605
node35,5990.1763,927.5106
node36,6303.1807,931.0088
node37,6664.727,979.9794
node38,7024.66,1017.6475
node39,7363.539,1071.1415
node40,7748.415,1083.9027
node41,971.5013,1656.3506
node42,1422.8734,1840.1416
node43,1914.2563,1914.2104
node44,2302.711,1887.966
node45,2755.528,1802.9976
node46,3148.377,1716.9088
node47,3466.796,1624.898
node48,3754.508,1560.8201
node49,4044.6711,1496.267
node50,4358.867,1514.0503
node51,4672.68,1507.8507
node52,5020.9595,1457.8004
node53,5374.715,1385.6382
node54,5716.361,1311.7211
node55,6066.767,1330.6255
node56,6390.1484,1376.9978
node57,6741.9746,1406.1006
node58,7117.9873,1440.073
node59,7513.6865,1447.7966
node60,7950.4326,1391.0488
node61,772.8462,1897.8763
node62,1285.8348,2062.1897
node63,1789.7292,2131.2334
node64,2224.4495,2128.4478
node65,2690.4778,2076.2551
node66,3087.9053,2010.6136
node67,3434.1775,1953.0386
node68,3729.035,1889.747
node69,4038.2625,1859.2448
node70,4376.191,1825.9648
node71,4675.522,1807.8503
node72,5010.9453,1784.4608
node73,5377.556,1739.5013
node74,5747.672,1686.6396
node75,6131.8125,1683.4622
node76,6470.137,1705.0178
node77,6832.9897,1748.343
node78,7225.0854,1766.9934
node79,7672.4624,1761.991
node80,8135.944,1682.886
node81,664.0738,2195.7803
node82,1173.0032,2319.8296
node83,1684.4072,2357.9465
node84,2140.6724,2369.5012
node85,2603.846,2337.3
node86,3012.2126,2284.4294
node87,3371.972,2240.3508
node88,3719.002,2180.2686
