,x,y
node1,1469.623,1389.7053
node2,1687.3822,1439.8157
node3,1914.6906,1439.2545
node4,2213.4944,1455.1401
node5,2622.4827,1336.8431
node6,2921.7422,1163.4182
node7,3126.0288,1037.5933
node8,3364.8225,919.9921
node9,3590.992,812.7666
node10,3795.3823,731.8004
node11,4036.6265,734.95
node12,4282.061,727.5031
node13,4553.8604,753.5648
node14,4866.1694,768.701
node15,5206.6807,642.4179
node16,5481.617,526.9636
node17,5704.5537,490.5143
node18,5960.763,531.0588
node19,6210.9316,474.6428
node20,6489.082,442.0396
node21,6812.9297,432.3275
node22,7120.0312,450.886
node23,7343.488,603.2303
node24,7603.9136,752.197
node25,1278.1865,1477.7948
node26,1559.4846,1596.8041
node27,1880.8182,1625.8707
node28,2193.2258,1633.4071
node29,2553.0361,1552.8385
node30,2899.2822,1415.2292
node31,3171.1226,1319.5902
node32,3403.817,1220.4039
node33,3615.7737,1117.663
node34,3854.8755,1067.5848
node35,4071.3987,1065.45
node36,4308.3604,1059.3875
node37,4596.646,1059.3883
node38,4906.139,1064.3301
node39,5217.304,993.2194
node40,5504.787,864.8561
node41,5742.8623,827.0366
node42,5989.681,845.8837
node43,6243.9478,832.9721
node44,6528.5776,870.446
node45,6827.257,914.2327
node46,7115.97,918.7301
node47,7397.955,977.2866
node48,7720.634,1005.2417
node49,1053.5028,1567.2219
node50,1404.4862,1744.5854
node51,1787.8448,1810.3422
node52,2126.806,1827.0562
node53,2460.1423,1757.7764
node54,2836.1653,1662.1128
node55,3150.5266,1594.901
node56,3407.1084,1497.4374
node57,3629.5007,1433.8654
node58,3871.778,1397.047
node59,4094.4775,1343.0806
node60,4352.4683,1383.3271
node61,4631.8325,1390.3556
node62,4930.7847,1352.6217
node63,5217.1704,1301.5189
node64,5508.3247,1203.8422
node65,5765.601,1182.8109
node66,6042.4893,1192.4829
node67,6311.9683,1230.4381
node68,6597.292,1251.4126
node69,6904.668,1274.2723
node70,7209.2383,1276.473
node71,7525.952,1302.3058
node72,7895.439,1242.5691
node73,852.7605,1712.225
node74,1262.106,1900.3016
node75,1716.4318,1987.3212
node76,2067.4275,2001.1558
node77,2421.9355,1980.1394
node78,2791.924,1917.9844
node79,3093.525,1858.4438
node80,3370.5735,1791.2294
node81,3624.8284,1733.0358
node82,3858.192,1688.4167
node83,4123.7554,1628.7478
node84,4390.378,1650.6073
node85,4640.0176,1650.3441
node86,4914.3906,1616.6572
node87,5216.126,1575.7932
node88,5517.932,1526.0844
node89,5800.806,1503.7765
node90,6107.64,1499.7417
node91,6369.9897,1535.2805
node92,6658.1304,1559.8966
node93,6983.263,1585.6698
node94,7296.029,1592.5884
node95,7668.855,1575.0677
node96,8061.712,1497.6444
node97,711.1862,1935.6536
node98,1150.5259,2089.8577
node99,1574.3773,2159.9734
node100,1943.187,2185.513
node101,2337.7004,2189.127
node102,2722.0535,2143.641
node103,3052.0366,2094.0942
node104,3331.4993,2043.047
node105,3595.193,1971.559
node106,3854.7927,1939.9242
node107,4132.452,1926.7578
node108,4391.8887,1891.6976
node109,4647.514,1886.9664
node110,4924.2534,1879.9316
node111,5214.462,1858.5474
node112,5512.609,1836.1711
node113,5829.52,1811.925
node114,6154.834,1784.0956
node115,6447.6587,1788.6802
node116,6736.282,1823.3678
node117,7061.5073,1844.485
node118,7388.044,1853.763
node119,7804.143,1827.0996
node120,8205.887,1730.78
node121,618.4536,2191.862
node122,1041.0537,2311.683
node123,1494.3457,2358.6401
node124,1877.6886,2398.1787
node125,2261.1594,2393.5984
node126,2637.5796,2359.9072
node127,2989.5168,2329.6084
node128,3298.4888,2288.9934
node129,3581.9211,2220.788
node130,3852.5947,2186.9788
node131,4127.9478,2172.6284
node132,4394.271,2130.6436
node133,4667.732,2113.398
node134,4946.633,2102.9944
node135,5241.357,2096.1804
node136,5535.6045,2101.9495
node137,5833.6216,2086.5872
node138,6147.5337,2068.5422
node139,6492.8057,2055.4092
node140,6817.8774,2084.095
node141,7152.7847,2101.116
node142,7485.0127,2093.3455
node143,7884.4497,2090.0837
node144,8291.152,1993.3173
node145,562.9394,2460.1157
node146,985.7512,2541.2092
node147,1416.7931,2579.4343
node148,1802.866,2603.2112
node149,2182.5186,2611.3472
node150,2565.4922,2568.5398
node151,2925.0303,2551.7522
node152,3232.4438,2508.6116
node153,3508.7756,2459.134
node154,3820.5515,2424.3428
node155,4111.662,2412.8755
node156,4377.826,2395.3035
node157,4665.677,2366.618
node158,4951.8013,2356.3025
node159,5257.4185,2334.9875
node160,5567.8145,2333.075
node161,5866.595,2328.7573
node162,6195.345,2347.3271
node163,6540.9443,2335.204
node164,6878.3384,2342.707
node165,7208.896,2359.412
node166,7568.8706,2341.632
node167,7956.2534,2331.6252
node168,8359.5,2263.189
node169,521.6884,2716.35
node170,952.4726,2776.969
node171,1389.83,2793.3845
node172,1744.5216,2826.606
node173,2107.672,2812.24
node174,2498.9658,2790.7449
node175,2854.0037,2769.3882
node176,3175.7253,2732.1123
node177,3482.9248,2712.013
node178,3806.0176,2692.082
node179,4103.0435,2674.4868
node180,4353.02,2659.6375
node181,4635.3037,2634.4868
node182,4926.6025,2603.9504
node183,5250.667,2587.2283
node184,5596.7607,2564.9268
node185,5920.3687,2572.8972
node186,6239.289,2585.9165
node187,6570.9194,2589.3298
node188,6926.8833,2588.22
node189,7269.278,2588.7148
node190,7619.1694,2579.9802
node191,7999.113,2566.8188
node192,8409.665,2516.2546
node193,440.8178,2963.0283
node194,867.5754,3011.4456
node195,1370.375,3032.6804
node196,1733.1428,3043.8765
node197,2068.5364,3037.0117
node198,2451.1526,3014.2227
node199,2799.384,2984.0173
node200,3133.0886,2955.7568
node201,3479.86,2935.478
node202,3804.4456,2920.9155
node203,4094.1277,2907.708
node204,4362.178,2884.443
node205,4627.2046,2874.7698
node206,4900.1294,2857.9016
node207,5238.372,2849.9473
node208,5600.755,2810.7654
node209,5953.992,2815.0105
node210,6279.7456,2816.4321
node211,6616.13,2828.6812
node212,6953.328,2834.8765
node213,7288.069,2822.3223
node214,7652.521,2816.207
node215,8021.749,2810.4224
node216,8442.976,2783.3455
node217,402.2627,3218.9795
node218,858.3708,3251.251
node219,1271.6593,3285.3057
node220,1654.5804,3260.147
node221,2025.516,3250.3318
node222,2409.1707,3236.0576
node223,2748.8586,3201.531
node224,3101.8535,3181.4094
node225,3458.8867,3164.3643
node226,3797.1665,3148.2217
node227,4080.0452,3134.051
node228,4346.629,3108.7944
node229,4618.2915,3100.0952
node230,4904.9214,3102.9473
node231,5214.223,3102.2405
node232,5579.1743,3068.6267
node233,5935.7075,3060.259
node234,6266.6006,3058.9907
node235,6613.234,3059.175
node236,6966.9727,3059.1318
node237,7311.5967,3048.6833
node238,7667.351,3053.6375
node239,8041.351,3055.4287
node240,8458.775,3056.0103
node241,389.3119,3496.1685
node242,847.4423,3512.2815
node243,1255.5895,3491.9077
node244,1619.782,3479.1453
node245,1998.4294,3471.2017
node246,2382.821,3455.4883
node247,2714.0806,3438.6267
node248,3081.302,3424.8809
node249,3428.0745,3406.1611
node250,3755.9749,3391.4404
node251,4035.9907,3369.3457
node252,4339.7827,3342.0913
node253,4629.141,3347.5334
node254,4920.1055,3334.3357
node255,5211.579,3331.745
node256,5537.013,3314.467
node257,5904.7983,3293.7417
node258,6254.6714,3289.3225
node259,6599.9253,3289.7288
node260,6930.6494,3272.678
node261,7278.16,3269.8765
node262,7664.495,3280.654
node263,8052.192,3296.5447
node264,8457.856,3314.9243
node265,375.5623,3775.8896
node266,793.6742,3773.4487
node267,1216.6796,3716.2175
node268,1619.2974,3692.5088
node269,1992.8748,3691.9011
node270,2382.6782,3680.639
node271,2702.2144,3666.9143
node272,3065.9702,3647.678
node273,3420.2937,3647.532
node274,3730.735,3627.0964
node275,4018.092,3603.6453
node276,4341.658,3600.86
node277,4602.851,3598.8088
node278,4889.9863,3579.4631
node279,5196.3823,3557.2708
node280,5496.758,3535.881
node281,5865.23,3514.9805
node282,6216.782,3497.8616
node283,6571.502,3487.638
node284,6905.0674,3479.725
node285,7267.823,3490.6648
node286,7636.78,3512.7668
node287,8022.039,3536.9
node288,8436.309,3582.2249
node289,383.4401,4031.941
node290,803.3888,3991.422
node291,1231.0875,3954.422
node292,1623.0044,3925.225
node293,1992.9092,3902.87
node294,2377.7024,3901.1008
node295,2708.987,3899.7305
node296,3066.855,3885.9805
node297,3417.5205,3870.827
node298,3719.4417,3853.398
node299,4008.3308,3843.0469
node300,4329.159,3845.4912
node301,4586.388,3824.2417
node302,4866.7646,3816.3127
node303,5160.209,3782.764
node304,5456.671,3752.7627
node305,5824.872,3721.7593
node306,6158.946,3702.1548
node307,6520.781,3690.8057
node308,6873.932,3681.6792
node309,7219.333,3714.0632
node310,7594.216,3744.6711
node311,7981.679,3774.1743
node312,8364.818,3852.3865
node313,432.7836,4287.036
node314,855.3568,4224.72
node315,1250.1669,4192.4053
node316,1621.4072,4148.2993
node317,1991.8763,4125.673
node318,2413.2773,4112.436
node319,2736.366,4115.9253
node320,3071.316,4111.395
node321,3409.7627,4087.5312
node322,3719.725,4063.7473
node323,4014.3132,4061.446
node324,4310.134,4074.4893
node325,4559.8115,4048.2683
node326,4823.476,4037.5503
node327,5087.5894,4000.129
node328,5381.914,3965.1636
node329,5738.168,3943.2944
node330,6083.937,3916.8723
node331,6428.142,3904.829
node332,6844.8022,3891.492
node333,7205.1777,3922.284
node334,7542.776,3962.594
node335,7927.271,4011.6487
node336,8280.586,4109.4595
node337,534.4919,4542.5996
node338,931.6378,4460.1694
node339,1317.878,4424.445
node340,1683.7386,4383.703
node341,2058.1494,4369.4995
node342,2442.5754,4343.9995
node343,2777.5613,4331.4023
node344,3072.95,4328.8823
node345,3392.5112,4303.9307
node346,3720.9805,4274.121
node347,4028.782,4252.1304
node348,4307.9287,4240.7188
node349,4529.5527,4225.713
node350,4777.5703,4210.327
node351,5017.493,4185.657
node352,5342.7246,4172.1235
node353,5685.1265,4159.7466
node354,5998.93,4123.034
node355,6365.35,4120.41
node356,6773.048,4108.1685
node357,7133.2554,4128.16
node358,7463.1025,4174.128
node359,7836.8345,4246.9937
node360,8162.613,4347.179
node361,622.8764,4810.11
node362,1011.0272,4694.4907
node363,1374.6807,4655.6387
node364,1749.9417,4612.042
node365,2131.9907,4593.4263
node366,2460.3271,4574.4707
node367,2769.9497,4544.4165
node368,3064.3906,4530.162
node369,3376.424,4538.2104
node370,3693.8896,4513.9683
node371,3984.3708,4471.138
node372,4281.501,4423.8105
node373,4518.7744,4421.543
node374,4764.572,4396.8413
node375,5012.763,4397.2197
node376,5326.8286,4409.767
node377,5642.6997,4382.8354
node378,5953.105,4328.713
node379,6282.265,4328.973
node380,6660.9106,4332.118
node381,7040.0703,4345.08
node382,7362.817,4391.8438
node383,7738.262,4463.264
node384,8042.149,4567.6357
node385,706.7916,5048.1406
node386,1079.3396,4921.5176
node387,1453.5183,4868.424
node388,1817.2266,4825.75
node389,2168.4175,4801.8325
node390,2473.969,4773.3423
node391,2766.8083,4756.2427
node392,3095.4043,4746.728
node393,3415.6296,4767.6675
node394,3702.4832,4750.8223
node395,3975.2117,4733.6694
node396,4238.722,4685.448
node397,4479.638,4662.392
node398,4757.931,4641.374
node399,5035.1475,4628.3276
node400,5293.332,4602.4883
node401,5556.7837,4576.4785
node402,5847.4087,4552.3706
node403,6249.8955,4541.454
node404,6583.0376,4539.624
node405,6918.119,4548.3315
node406,7234.959,4593.5444
node407,7604.3105,4661.503
node408,7913.112,4764.11
node409,818.1124,5264.6123
node410,1178.3705,5140.271
node411,1544.3218,5071.7583
node412,1884.455,5032.9497
node413,2200.958,5010.192
node414,2485.647,4992.086
node415,2824.24,4977.92
node416,3128.2295,4981.7793
node417,3439.1997,5015.0015
node418,3695.66,4968.321
node419,3960.1465,4939.641
node420,4190.631,4897.331
node421,4466.5,4905.7227
node422,4726.886,4920.2847
node423,4949.3364,4893.6543
node424,5238.8555,4867.2886
node425,5543.41,4844.023
node426,5855.533,4806.0903
node427,6195.6616,4811.979
node428,6475.8984,4745.0635
node429,6809.6714,4758.2983
node430,7100.461,4793.8
node431,7410.4463,4859.8223
node432,7784.243,5002.2563
node433,951.5152,5477.7915
node434,1286.2113,5350.7017
node435,1647.3411,5275.3584
node436,1964.465,5257.9893
node437,2265.295,5241.2817
node438,2546.6343,5253.1543
node439,2864.4458,5266.4033
node440,3142.3184,5282.36
node441,3421.8284,5274.009
node442,3673.0437,5270.5215
node443,3951.782,5260.2056
node444,4207.4224,5213.4624
node445,4474.5117,5209.7715
node446,4705.503,5171.642
node447,4962.7515,5162.051
node448,5207.057,5157.526
node449,5457.652,5158.5737
node450,5775.3125,5074.8105
node451,6113.7017,5049.9297
node452,6370.151,4997.418
node453,6683.563,4990.09
node454,6959.3057,4993.2144
node455,7241.8647,5052.763
node456,7523.84,5194.283
node457,1099.1697,5665.4917
node458,1406.7588,5547.288
