,x,y
node1,1474.2268,1390.7186
node2,1726.6782,1438.3159
node3,1975.1523,1442.2634
node4,2347.6838,1454.6912
node5,2762.5234,1273.9275
node6,3007.086,1089.8562
node7,3270.107,980.1454
node8,3508.0151,828.1126
node9,3738.287,742.1938
node10,4014.9995,717.3678
node11,4266.676,732.0452
node12,4568.6567,749.3465
node13,4937.867,772.8916
node14,5264.049,610.8606
node15,5535.8984,491.115
node16,5785.8726,484.9403
node17,6084.669,499.8462
node18,6364.189,450.6528
node19,6711.7007,385.0921
node20,7083.8394,403.992
node21,7323.9497,591.6994
node22,7616.08,745.3346
node23,1254.1167,1479.0553
node24,1591.251,1664.2526
node25,1963.5796,1661.6984
node26,2304.3914,1655.9036
node27,2701.041,1538.731
node28,3041.1719,1420.0952
node29,3335.902,1320.3364
node30,3568.9775,1229.3243
node31,3811.3896,1143.4999
node32,4039.978,1126.3967
node33,4307.713,1121.9637
node34,4622.786,1121.9064
node35,4952.5254,1107.9249
node36,5311.098,1032.0238
node37,5574.8164,916.7261
node38,5840.075,870.4714
node39,6115.3813,889.2698
node40,6411.898,911.5479
node41,6733.4736,955.5986
node42,7061.696,1000.5278
node43,7334.2554,1048.1815
node44,7733.4326,1039.8068
node45,999.9403,1575.0184
node46,1426.004,1808.5204
node47,1838.9417,1860.7238
node48,2200.082,1865.6425
node49,2584.5432,1790.3702
node50,2987.2727,1689.0616
node51,3278.51,1623.5933
node52,3559.3025,1520.376
node53,3824.663,1461.8436
node54,4080.505,1422.8954
node55,4366.777,1451.5206
node56,4655.6807,1455.7218
node57,4968.3745,1414.048
node58,5267.0933,1349.0598
node59,5594.16,1252.7632
node60,5892.14,1235.477
node61,6200.1694,1279.405
node62,6492.8735,1306.5118
node63,6816.7905,1336.4648
node64,7161.2417,1328.1432
node65,7486.3623,1380.1469
node66,7947.09,1290.7804
node67,784.602,1766.7318
node68,1333.7291,2015.9056
node69,1761.7664,2066.944
node70,2116.519,2055.2424
node71,2521.8486,2025.663
node72,2916.8757,1966.1272
node73,3239.4512,1901.0999
node74,3542.0715,1843.2532
node75,3809.2087,1802.0417
node76,4079.6167,1768.3826
node77,4389.45,1733.087
node78,4672.229,1730.5442
node79,4960.6094,1713.1833
node80,5290.6025,1657.449
node81,5623.521,1604.7394
node82,5952.278,1586.9612
node83,6275.605,1599.8027
node84,6579.527,1630.1125
node85,6901.177,1673.1948
node86,7252.016,1672.0995
node87,7635.8022,1667.4454
node88,8117.644,1557.2294
node89,658.6231,2022.532
node90,1193.4728,2207.2095
node91,1620.1995,2242.3672
node92,2050.0938,2276.2566
node93,2444.7751,2260.7058
node94,2846.7527,2209.498
node95,3187.6418,2141.2466
node96,3503.1267,2087.5686
node97,3798.308,2045.3252
node98,4096.02,2018.5776
node99,4379.794,1986.3868
node100,4672.83,1981.4036
node101,4983.118,1974.435
node102,5306.448,1955.476
node103,5619.224,1922.0555
node104,5967.4824,1904.7258
node105,6333.045,1884.7638
node106,6651.936,1902.5964
node107,7001.406,1942.1215
node108,7366.3022,1949.8835
node109,7749.253,1938.5332
node110,8255.801,1823.5052
node111,582.4283,2307.8098
node112,1110.9475,2437.671
node113,1554.2101,2494.3997
node114,1957.0144,2510.0586
node115,2387.901,2493.9111
node116,2769.4192,2462.1455
node117,3126.9277,2418.3896
node118,3427.374,2354.6113
node119,3764.822,2303.4036
node120,4072.9873,2296.5356
node121,4373.0166,2252.7925
node122,4678.45,2252.1238
node123,5008.203,2225.9924
node124,5342.5425,2205.4683
node125,5661.3965,2208.1853
node126,5989.023,2196.5728
node127,6371.5103,2199.1511
node128,6740.6216,2202.3296
node129,7080.851,2223.4565
node130,7461.47,2216.378
node131,7864.5073,2213.8196
node132,8348.814,2113.3557
node133,522.4668,2586.9146
node134,1047.3517,2688.0298
node135,1470.3766,2734.0925
node136,1913.429,2743.4028
node137,2301.8022,2736.9514
node138,2701.0498,2701.3494
node139,3044.2646,2655.675
node140,3378.5188,2611.94
node141,3731.5496,2575.2607
node142,4058.972,2571.7102
node143,4342.902,2555.3599
node144,4665.9585,2543.7769
node145,4988.6025,2504.0225
node146,5364.4727,2460.6848
node147,5700.541,2462.601
node148,6053.1797,2470.487
node149,6394.562,2479.5342
node150,6804.9634,2471.8206
node151,7146.3247,2480.628
node152,7525.565,2488.6887
node153,7907.7583,2470.3315
node154,8401.294,2410.4207
node155,458.2444,2866.3738
node156,950.062,2947.5203
node157,1495.0673,2959.2285
node158,1832.0432,2984.3066
node159,2241.919,2972.513
node160,2655.1392,2949.2312
node161,3004.7744,2897.138
node162,3373.8447,2861.0789
node163,3711.9272,2847.398
node164,4049.3137,2826.4343
node165,4333.383,2809.8005
node166,4637.619,2805.8901
node167,4949.9097,2765.5554
node168,5337.476,2757.3699
node169,5716.434,2718.6765
node170,6090.5664,2729.0544
node171,6425.2217,2740.6965
node172,6805.32,2751.4067
node173,7179.634,2747.877
node174,7562.935,2736.6382
node175,7943.625,2733.654
node176,8452.919,2687.3296
node177,383.5648,3155.0947
node178,942.6874,3218.5928
node179,1386.8953,3241.2666
node180,1768.0806,3216.3206
node181,2182.5593,3197.5002
node182,2579.5308,3181.5222
node183,2957.86,3137.4858
node184,3328.4685,3111.8257
node185,3714.2625,3114.7012
node186,4023.475,3078.9373
node187,4328.072,3062.5144
