,x,y
node1,1458.8141,1321.7347
node2,1549.0757,1350.4929
node3,1625.0056,1385.2477
node4,1719.074,1372.5565
node5,1816.7362,1360.5901
node6,1904.0258,1391.0089
node7,1993.6964,1368.2993
node8,2113.0913,1376.088
node9,2239.73,1396.3496
node10,2430.9028,1408.1134
node11,2591.1396,1300.2758
node12,2715.0764,1212.6779
node13,2831.2974,1156.6395
node14,2906.72,1094.8676
node15,2992.7783,1035.6848
node16,3068.3389,970.6763
node17,3177.474,929.857
node18,3265.3662,882.4078
node19,3368.839,827.3476
node20,3449.3855,774.1648
node21,3544.5227,750.2994
node22,3632.4487,738.1184
node23,3728.5369,689.0875
node24,3820.0083,652.7597
node25,3924.1355,634.0457
node26,4019.6748,655.688
node27,4106.311,651.9599
node28,4209.2524,648.8826
node29,4312.668,605.5654
node30,4422.123,649.7078
node31,4532.7324,651.7049
node32,4640.274,712.076
node33,4749.6094,715.1488
node34,4883.676,705.2674
node35,5023.2485,685.1707
node36,5134.8965,620.3884
node37,5267.4023,516.721
node38,5379.776,483.0581
node39,5468.0273,391.4516
node40,5560.7393,368.0181
node41,5675.506,392.6878
node42,5764.9873,426.6736
node43,5871.7324,476.8616
node44,5985.5454,458.1838
node45,6082.21,469.4382
node46,6169.365,394.8586
node47,6263.4795,328.6528
node48,6376.3896,302.0511
node49,6503.6074,328.7266
node50,6645.8154,230.8592
node51,6790.096,222.4627
node52,6952.302,371.316
node53,7080.693,312.5509
node54,7173.6367,369.8247
node55,7290.709,418.178
node56,7365.803,526.4942
node57,7492.421,573.0996
node58,7571.555,661.3372
node59,7663.8193,676.995
node60,1384.918,1366.1632
node61,1503.1769,1452.745
node62,1584.3911,1481.0548
node63,1698.3032,1485.8997
node64,1801.4352,1510.459
node65,1901.343,1510.5087
node66,2004.7976,1516.0668
node67,2116.2573,1514.4468
node68,2267.9758,1502.8855
node69,2429.8286,1483.8436
node70,2590.1318,1418.0945
node71,2731.726,1354.5094
node72,2857.3813,1286.7249
node73,2978.9294,1241.6133
node74,3048.3604,1200.5144
node75,3143.249,1149.018
node76,3240.5874,1115.4304
node77,3344.0151,1066.1885
node78,3425.5576,1017.8274
node79,3517.1567,972.5583
node80,3592.076,932.5556
node81,3684.829,890.1069
node82,3760.5967,883.13
node83,3857.0396,863.1898
node84,3937.296,870.8915
node85,4026.766,870.0653
node86,4120.0176,862.6495
node87,4211.1885,858.405
node88,4310.1978,863.0716
node89,4419.5913,864.6134
node90,4534.6294,867.7961
node91,4659.4893,874.8298
node92,4776.0586,869.8914
node93,4935.699,878.7261
node94,5054.295,822.758
node95,5143.053,793.9936
node96,5344.7886,743.1392
node97,5434.048,686.9914
node98,5522.401,668.6724
node99,5605.4116,633.5212
node100,5687.2144,625.7356
node101,5780.9805,625.1144
node102,5866.8687,634.6547
node103,5990.1265,634.2149
node104,6088.8027,618.7702
node105,6191.321,621.3214
node106,6275.0063,620.6496
node107,6404.401,624.0982
node108,6523.0786,611.6076
node109,6654.069,616.6992
node110,6797.0737,626.638
node111,6922.4297,670.8335
node112,7019.3335,648.3432
node113,7163.897,628.8387
node114,7234.5327,684.1837
node115,7321.842,727.232
node116,7444.085,769.8776
node117,7540.636,815.2937
node118,7687.2456,814.0944
node119,1315.6016,1384.8843
node120,1426.2107,1491.3365
node121,1529.1724,1516.4812
node122,1651.7025,1540.8716
node123,1767.8866,1555.3257
node124,1878.5668,1559.7214
node125,2001.6115,1578.5692
node126,2101.7642,1575.518
