,x,y
node1,1459.9596,1313.1798
node2,1523.6766,1343.4045
node3,1596.6725,1367.6903
node4,1669.5613,1368.6234
node5,1749.8055,1363.1824
node6,1830.5898,1360.2583
node7,1905.2618,1379.1619
node8,1978.644,1370.2535
node9,2075.3948,1362.3507
node10,2187.2031,1406.7888
node11,2286.2676,1402.7924
node12,2450.049,1385.993
node13,2592.964,1300.2058
node14,2709.7139,1217.2621
node15,2811.5115,1164.4559
node16,2878.7097,1119.5222
node17,2941.238,1053.2673
node18,3009.8547,1007.1682
node19,3082.6619,972.3948
node20,3168.2427,925.3959
node21,3244.0745,879.9225
node22,3329.352,847.9945
node23,3405.676,804.4134
node24,3480.4312,761.4988
node25,3556.6436,745.4494
node26,3630.9255,726.4694
node27,3714.216,696.1506
node28,3787.6943,665.5738
node29,3872.161,646.7679
node30,3964.0037,642.3008
node31,4045.7437,647.1336
node32,4119.971,656.1186
node33,4202.7944,644.866
node34,4285.7236,611.5734
node35,4379.163,626.685
node36,4469.5376,649.919
node37,4564.488,674.3012
node38,4652.138,697.6519
node39,4741.846,718.2166
node40,4855.8604,716.0624
node41,4972.561,688.0902
node42,5080.7754,662.6586
node43,5177.292,578.1155
node44,5286.8174,504.5471
node45,5376.9907,476.4607
node46,5455.017,404.5224
node47,5530.29,353.4036
node48,5621.0444,398.2089
node49,5702.282,378.785
node50,5779.0483,446.8241
node51,5872.532,468.6937
node52,5974.253,457.1546
node53,6058.6294,458.66
node54,6131.0537,416.1462
node55,6209.982,370.9819
node56,6280.996,302.4374
node57,6378.606,324.4546
node58,6488.36,305.5058
node59,6614.968,222.4948
node60,6733.504,216.9846
node61,6854.915,252.9081
node62,6999.7544,316.7879
node63,7108.3774,293.2754
node64,7182.665,358.7948
node65,7275.4766,400.33
node66,7330.6006,497.1942
node67,7413.406,565.0788
node68,7510.9585,616.3886
node69,7590.0337,656.835
node70,7661.9062,680.2124
node71,1399.5719,1343.7397
node72,1468.2222,1389.8824
node73,1561.9716,1430.7354
node74,1641.5082,1434.1906
node75,1728.2249,1445.3763
node76,1834.9268,1450.6843
node77,1905.2598,1468.8444
node78,1970.8032,1448.5425
node79,2094.453,1476.7742
node80,2190.8552,1490.5975
node81,2302.5269,1479.6923
node82,2438.9197,1442.5084
node83,2591.344,1390.9371
node84,2712.433,1331.0721
node85,2821.0361,1263.0393
node86,2905.1624,1193.1351
node87,2977.7202,1158.1971
node88,3038.8052,1106.1084
node89,3128.1897,1077.2764
node90,3208.411,1039.2538
node91,3277.7454,974.9551
node92,3373.7144,970.9628
node93,3440.8477,905.5781
node94,3514.2349,871.6324
node95,3588.6484,843.5336
node96,3664.5967,836.9256
node97,3723.1033,795.6938
node98,3800.404,740.1393
node99,3892.316,766.5944
node100,3976.9312,779.971
node101,4049.7676,773.0442
node102,4126.9385,794.4196
node103,4201.992,792.5344
node104,4279.677,771.366
node105,4380.7056,747.4096
node106,4476.866,768.964
node107,4566.8823,801.5866
node108,4669.013,811.7788
node109,4754.3975,832.6668
node110,4857.8276,826.8053
node111,4990.9976,788.8206
node112,5089.32,764.1816
node113,5180.076,657.9694
node114,5338.101,624.1756
node115,5412.9385,627.626
node116,5474.791,575.4271
node117,5561.118,500.399
node118,5637.011,548.0734
node119,5708.065,509.547
node120,5788.8057,562.977
node121,5876.4873,573.5684
node122,5983.4307,580.943
node123,6063.717,574.2924
node124,6145.6875,555.2202
node125,6224.3394,548.783
node126,6290.784,462.0824
node127,6398.159,516.189
node128,6499.71,507.3224
node129,6622.4927,498.5309
node130,6737.5776,490.1417
