,x,y
node1,1459.3065,1339.011
node2,1572.8737,1373.7745
node3,1694.1818,1391.6774
node4,1820.3284,1379.776
node5,1932.8896,1396.1658
node6,2088.1318,1406.0929
node7,2269.1848,1417.3279
node8,2498.9346,1378.7723
node9,2702.4907,1256.5896
node10,2851.076,1155.5353
node11,2960.762,1073.6373
node12,3068.9543,1002.4091
node13,3200.8416,935.9053
node14,3327.4263,871.4196
node15,3453.9397,803.1266
node16,3575.6248,760.9173
node17,3694.2668,725.37
node18,3813.6335,677.1809
node19,3951.6667,669.764
node20,4081.8057,682.0134
node21,4209.432,676.2223
node22,4349.459,652.9996
node23,4494.047,678.3733
node24,4637.7573,719.9894
node25,4807.7383,734.8346
node26,4995.327,708.6764
node27,5146.6997,621.9098
node28,5328.497,540.1884
node29,5450.9253,442.6511
node30,5584.409,408.4471
node31,5713.3506,417.4748
node32,5844.6313,486.2049
node33,5998.9824,488.2326
node34,6125.5815,454.4839
node35,6247.666,365.4969
node36,6403.209,349.5969
node37,6593.071,312.2326
node38,6772.6914,299.8817
node39,6977.824,359.5872
node40,7133.777,353.9494
node41,7263.216,446.3866
node42,7374.696,567.7325
node43,7513.713,656.2379
node44,7642.917,703.169
node45,1376.3975,1392.086
node46,1495.4213,1462.8849
node47,1643.5459,1496.9937
node48,1798.101,1507.1324
node49,1928.985,1518.8994
node50,2090.7385,1539.1461
node51,2265.1528,1519.6849
node52,2463.5696,1480.7731
node53,2674.843,1390.1838
node54,2865.9836,1301.6722
node55,2996.3066,1228.3099
node56,3121.1511,1160.4268
node57,3262.4421,1118.2115
node58,3377.9111,1062.8419
node59,3495.882,989.1171
node60,3606.7693,922.8415
node61,3715.0212,892.5205
node62,3839.292,843.4597
node63,3979.4175,884.0898
node64,4090.2244,884.4538
node65,4214.392,892.6193
node66,4349.755,882.9645
node67,4508.225,872.6995
node68,4663.675,897.8274
node69,4830.4736,911.7047
node70,5005.4106,878.7966
node71,5153.2676,795.8421
node72,5370.652,715.261
node73,5488.053,675.5896
node74,5600.3037,632.3478
node75,5734.1333,618.9094
node76,5869.222,670.2495
