,x,y
node1,1473.3186,1397.5613
node2,1743.0132,1442.0602
node3,2014.7375,1457.3192
node4,2433.64,1441.3943
node5,2831.7095,1235.1888
node6,3065.2078,1062.0935
node7,3340.218,930.8708
node8,3603.36,812.2084
node9,3846.151,713.3385
node10,4124.7603,742.6256
node11,4414.5166,727.0118
node12,4734.4043,787.1212
node13,5109.345,686.7599
node14,5461.5776,541.3766
node15,5724.658,480.7213
node16,6031.1846,532.0002
node17,6306.0137,461.2575
node18,6672.029,401.8969
node19,7062.9346,430.4074
node20,7322.95,600.5025
node21,7626.782,754.5879
node22,1242.7808,1494.9637
node23,1610.3057,1685.102
node24,1982.9388,1683.1191
node25,2360.108,1656.5222
node26,2799.821,1534.787
node27,3111.5981,1408.8082
node28,3407.0493,1299.7822
node29,3655.3752,1223.0415
node30,3928.2727,1160.8296
node31,4147.452,1152.8738
node32,4442.848,1144.1123
node33,4787.091,1147.9861
node34,5139.7505,1078.6487
node35,5495.2188,971.2745
node36,5770.171,902.927
node37,6061.6167,917.2275
node38,6364.1567,932.1461
node39,6701.199,978.1802
node40,7055.1113,1028.3783
node41,7345.0303,1078.1344
node42,7761.9487,1060.04
node43,974.2221,1592.9429
node44,1434.3396,1837.7192
node45,1882.901,1893.7322
node46,2247.1426,1882.0918
node47,2678.3872,1802.6312
node48,3080.8855,1710.2186
node49,3373.8955,1623.8676
node50,3642.3955,1526.6587
node51,3920.7043,1491.7346
node52,4202.3687,1478.8679
node53,4497.035,1474.3643
node54,4810.8594,1480.75
node55,5148.6816,1402.2573
node56,5500.8076,1313.3641
node57,5796.63,1256.3678
node58,6136.3423,1316.3405
node59,6448.6724,1336.3055
node60,6786.1226,1371.5718
node61,7141.722,1392.9321
node62,7493.986,1417.7812
node63,7974.841,1343.7234
node64,757.8482,1817.7563
node65,1340.0739,2050.6316
node66,1775.6824,2103.1025
node67,2169.3918,2096.6616
node68,2598.2595,2041.5514
node69,2998.7842,1984.1796
node70,3335.9746,1928.1862
node71,3638.2815,1873.8759
node72,3911.6611,1826.7162
node73,4255.099,1817.456
node74,4511.5674,1780.4512
node75,4805.6147,1759.1948
node76,5153.5684,1724.7603
node77,5506.2476,1677.0479
node78,5840.614,1647.4479
node79,6207.3857,1630.48
node80,6517.2383,1678.0552
node81,6860.263,1711.613
node82,7238.548,1716.8834
node83,7652.322,1733.8481
node84,8144.7065,1624.0416
node85,644.7976,2107.6233
node86,1190.4271,2270.3875
node87,1647.5554,2301.6628
node88,2097.7415,2314.5735
node89,2520.5332,2289.603
node90,2927.9124,2240.0085
node91,3276.6306,2185.7952
node92,3596.5657,2134.5518
node93,3904.3447,2100.1235
node94,4225.3843,2075.5093
node95,4530.9565,2042.568
node96,4842.2397,2019.2546
node97,5161.4536,2006.7032
node98,5499.3335,1993.8306
node99,5872.3887,1985.3206
node100,6235.1387,1949.8436
node101,6599.0034,1955.0752
node102,6963.639,1991.9642
node103,7358.832,2001.7242
node104,7758.9263,2009.8073
node105,8279.559,1909.9094
node106,563.3391,2407.7383
node107,1118.5513,2516.2275
node108,1561.298,2549.4402
node109,2000.1844,2564.2725
node110,2454.6472,2537.4873
node111,2859.5884,2507.0447
node112,3219.1755,2463.841
node113,3531.794,2406.9817
node114,3891.7012,2374.7344
node115,4199.0522,2354.281
node116,4524.4077,2324.734
node117,4850.561,2304.5117
node118,5195.6284,2287.224
node119,5540.074,2264.6575
node120,5877.8174,2270.5254
node121,6260.678,2286.6887
node122,6671.1177,2274.171
node123,7034.283,2292.8147
node124,7441.108,2281.205
node125,7857.756,2288.9692
node126,8365.098,2212.389
node127,515.4385,2696.883
node128,1037.0024,2771.287
node129,1513.5985,2811.019
node130,1941.7944,2795.4133
node131,2379.577,2788.8237
node132,2792.7349,2751.3708
node133,3152.6338,2718.566
node134,3513.5996,2690.935
node135,3876.9668,2680.4932
node136,4214.524,2654.8887
node137,4515.1196,2632.1077
node138,4836.5474,2599.9163
node139,5171.8887,2565.728
node140,5588.576,2537.1494
node141,5943.4746,2549.124
node142,6311.964,2560.5615
node143,6739.249,2556.1538
node144,7107.509,2549.2769
node145,7508.3574,2558.7285
node146,7899.484,2560.8516
node147,8413.386,2503.3484
node148,425.5153,2985.6213
node149,965.9388,3044.547
node150,1547.4056,3064.642
node151,1879.714,3052.5017
node152,2300.6863,3039.692
node153,2725.5962,3007.7358
node154,3103.2612,2970.6418
node155,3490.4607,2941.8252
node156,3869.4795,2931.7808
node157,4190.09,2908.693
node158,4492.9644,2897.937
node159,4799.1895,2891.0217
node160,5175.542,2873.035
node161,5570.1235,2824.3481
node162,5982.4204,2814.127
node163,6350.2764,2826.0608
node164,6746.778,2830.828
node165,7125.6294,2834.0618
node166,7525.0234,2828.4426
node167,7927.901,2827.0486
node168,8464.716,2808.6707
node169,390.7988,3287.2905
node170,969.58,3305.6829
node171,1407.5281,3322.9604
node172,1804.2238,3301.579
node173,2242.2617,3282.3179
node174,2642.65,3261.1033
node175,3060.9502,3226.4602
node176,3456.884,3211.9167
node177,3843.08,3191.5305
node178,4158.3535,3154.148
node179,4475.6777,3157.8232
node180,4809.6724,3148.05
node181,5160.3765,3167.884
node182,5563.33,3119.212
node183,5950.66,3098.744
node184,6338.292,3093.158
node185,6754.1416,3107.8462
node186,7132.021,3091.2234
node187,7563.548,3084.9941
node188,7945.9785,3103.1638
node189,8464.568,3117.3325
node190,371.7339,3598.2737
node191,945.3504,3599.2825
node192,1354.596,3565.766
node193,1755.2676,3550.0657
node194,2191.501,3536.9385
node195,2589.3804,3514.0483
node196,3034.6377,3500.3328
node197,3429.2715,3476.2031
node198,3802.4124,3467.6309
node199,4125.5396,3436.872
node200,4479.653,3439.3772
node201,4819.396,3417.589
node202,5161.5522,3418.0757
node203,5514.626,3405.099
node204,5932.7764,3366.5093
node205,6311.4336,3349.52
node206,6725.5166,3342.582
node207,7102.683,3333.1643
node208,7538.456,3352.7432
node209,7936.251,3367.151
node210,8460.241,3419.3623
node211,382.6568,3887.2793
node212,883.8701,3863.7976
node213,1336.4899,3837.7217
node214,1793.102,3810.9673
node215,2212.1167,3800.9849
node216,2595.8545,3772.7776
node217,3019.94,3771.2825
node218,3431.0513,3744.0264
node219,3788.0476,3736.2627
node220,4117.5957,3719.1052
node221,4466.8066,3710.666
node222,4791.138,3700.0625
node223,5135.5566,3682.8044
node224,5471.0273,3639.8445
node225,5880.725,3617.298
node226,6256.2246,3585.4895
node227,6679.7944,3571.9268
node228,7061.2095,3587.596
node229,7490.228,3599.628
node230,7894.183,3624.8083
node231,8415.31,3724.455
node232,399.6424,4193.6577
node233,934.3813,4133.515
node234,1370.4027,4099.403
node235,1811.4614,4060.5857
node236,2262.1643,4037.8071
node237,2628.726,4038.706
node238,3033.2734,4023.1255
node239,3428.5369,4009.3127
