,x,y
node1,1496.5321,1418.3148
node2,1774.1259,1464.9166
node3,2089.4185,1482.4249
node4,2565.8174,1397.295
node5,2952.8682,1181.1729
node6,3235.7678,1021.9666
node7,3525.9097,876.0078
node8,3788.7627,780.8766
node9,4086.713,777.5586
node10,4403.8843,775.7868
node11,4768.2866,808.1912
node12,5203.152,689.2838
node13,5540.501,567.2808
node14,5835.1787,541.409
node15,6176.765,514.236
node16,6558.635,473.3727
node17,6984.2056,503.2565
node18,7290.5967,637.5146
node19,7591.5503,773.6654
node20,1258.5807,1527.9066
node21,1628.0869,1670.267
node22,2051.4739,1710.9355
node23,2485.5085,1646.6582
node24,2925.4663,1484.2704
node25,3284.1968,1361.2107
node26,3567.5583,1256.4928
node27,3852.924,1172.7982
node28,4123.4683,1156.5328
node29,4437.8022,1171.8124
node30,4829.1006,1154.4751
node31,5227.7925,1086.4133
node32,5575.121,966.8331
node33,5893.4624,931.8101
node34,6229.3564,940.6782
node35,6600.905,979.4328
node36,6980.488,1025.2534
node37,7336.6826,1093.733
node38,7732.296,1084.9635
node39,969.8823,1660.6243
node40,1426.9246,1862.1326
node41,1943.8064,1937.1052
node42,2373.8704,1913.6572
node43,2848.4036,1820.1604
node44,3228.0964,1716.8896
node45,3555.4763,1632.2332
node46,3866.448,1576.7314
node47,4184.137,1530.4879
node48,4506.09,1543.93
node49,4849.0376,1515.4756
node50,5219.59,1450.1991
node51,5595.9907,1381.1647
node52,5974.6445,1363.9508
node53,6324.4653,1400.0404
node54,6681.804,1440.3672
node55,7080.252,1475.6157
node56,7499.8696,1480.7054
node57,7947.529,1397.5948
node58,766.614,1918.9006
node59,1297.0233,2099.325
node60,1822.9512,2165.1865
node61,2284.3308,2167.4468
node62,2775.0896,2107.7415
node63,3174.5867,2032.6102
node64,3523.0813,1964.4073
node65,3844.5337,1911.0972
node66,4200.6743,1886.31
node67,4527.7314,1860.4229
node68,4859.239,1838.967
node69,5228.746,1813.5782
node70,5612.584,1773.2578
node71,6022.2725,1744.0632
node72,6403.3584,1745.7004
