,x,y
node1,1462.3188,1341.3168
node2,1600.826,1388.2678
node3,1721.3524,1393.6578
node4,1869.3094,1389.2445
node5,2010.9968,1381.4285
node6,2226.3965,1422.5419
node7,2468.768,1405.6447
node8,2682.6921,1272.6158
node9,2853.9285,1152.0408
node10,2981.8936,1053.4651
node11,3101.3965,980.7023
node12,3250.5632,907.5034
node13,3395.7488,832.889
node14,3534.9,769.9522
node15,3674.424,738.1178
node16,3810.2727,671.4181
node17,3964.94,669.1434
node18,4103.795,667.2545
node19,4253.23,667.5765
node20,4424.4644,658.8727
node21,4587.0967,705.8548
node22,4759.109,748.1231
node23,4984.8276,708.128
node24,5143.4404,615.8983
node25,5356.0806,530.9828
node26,5492.03,411.0269
node27,5641.966,420.2164
node28,5781.7905,444.7652
node29,5950.1235,480.9381
node30,6099.368,469.1916
node31,6247.083,368.7475
node32,6425.5693,355.5314
node33,6635.068,284.944
node34,6812.8,330.6142
node35,7047.9033,346.0141
node36,7216.039,389.0647
node37,7339.7734,556.1193
node38,7487.2534,648.8166
node39,7638.2554,690.8337
node40,1344.9419,1390.8163
node41,1517.198,1510.8445
node42,1676.1527,1547.3666
node43,1868.5972,1547.8033
node44,2028.077,1563.8086
node45,2192.8174,1557.3192
node46,2437.4316,1521.819
node47,2643.6572,1414.6033
node48,2873.2795,1348.0507
node49,3021.8975,1254.7474
node50,3170.356,1206.5381
node51,3320.593,1145.9496
node52,3455.348,1080.918
node53,3592.292,1009.8213
node54,3717.218,971.8173
node55,3855.8435,943.8719
node56,3995.1455,946.3766
node57,4118.868,945.9673
node58,4261.317,952.783
node59,4435.2886,940.8825
node60,4619.674,941.5994
node61,4787.048,954.0636
node62,4999.88,923.9275
node63,5173.292,878.7919
node64,5402.2554,782.0458
node65,5546.101,741.245
node66,5674.196,716.3352
node67,5799.8965,705.8208
node68,5957.4673,703.9682
node69,6124.5254,710.2801
node70,6263.188,710.9854
node71,6436.7466,706.8455
node72,6627.4194,711.2634
node73,6815.9185,745.2424
node74,7018.2695,748.0726
node75,7174.424,793.5045
node76,7328.461,837.3813
node77,7491.0015,858.6172
node78,7710.7417,871.3372
node79,1226.2238,1451.4106
node80,1416.6198,1584.4097
node81,1586.6161,1634.7968
node82,1806.0242,1638.2864
node83,2011.6497,1658.3672
node84,2194.1755,1669.8241
node85,2393.8816,1628.8687
node86,2627.7349,1551.9434
node87,2853.6194,1484.5156
node88,3023.932,1408.8403
node89,3176.995,1349.5735
node90,3334.7314,1298.0065
node91,3468.0537,1232.6145
node92,3612.3577,1191.1117
node93,3748.7092,1149.8522
node94,3890.4485,1122.0927
node95,4006.3828,1115.4679
node96,4135.0483,1111.5952
node97,4288.47,1121.2312
node98,4443.636,1107.8136
node99,4634.3887,1116.3572
node100,4814.1587,1113.0205
node101,5025.553,1087.0101
node102,5208.187,1053.946
node103,5412.043,984.2198
node104,5540.786,909.1263
node105,5686.6826,898.3972
node106,5838.2427,879.2108
node107,5985.1587,894.9822
node108,6141.9893,894.8147
node109,6298.7983,879.3063
node110,6473.8174,912.6406
node111,6658.419,934.3419
node112,6849.415,949.6688
node113,7021.724,973.7374
node114,7193.6426,991.1819
node115,7350.5127,1029.2739
node116,7565.4536,1047.7092
node117,7776.991,1021.4906
node118,1085.594,1497.1608
node119,1286.8695,1662.9191
node120,1485.01,1713.472
node121,1739.9229,1754.8484
node122,1970.85,1779.9062
node123,2156.893,1777.8246
node124,2360.0505,1761.0688
node125,2573.4753,1714.7712
node126,2802.397,1629.6672
node127,2977.2417,1578.0569
node128,3161.987,1539.5416
node129,3321.6843,1479.1361
node130,3457.4229,1430.5143
node131,3608.3855,1400.3768
node132,3729.9087,1362.8252
node133,3881.4883,1348.8563
node134,4023.6553,1302.0719
node135,4155.0747,1298.06
node136,4317.526,1330.8641
node137,4473.9214,1349.9274
node138,4644.9634,1329.7855
node139,4841.6587,1305.0897
node140,5021.16,1281.8772
node141,5202.1016,1261.7826
node142,5372.706,1197.4456
node143,5546.33,1153.1115
node144,5709.0654,1127.5186
node145,5866.604,1140.5436
node146,6045.101,1124.7372
node147,6191.2866,1155.1105
node148,6339.397,1158.5585
node149,6530.9478,1184.5964
node150,6717.749,1182.4713
node151,6895.7056,1212.791
node152,7065.408,1189.7709
node153,7252.911,1223.0953
node154,7454.6406,1245.2098
node155,7661.178,1233.8105
node156,7924.311,1163.964
node157,945.6209,1561.7238
node158,1183.0187,1743.1798
node159,1400.0774,1815.7115
node160,1677.2343,1848.5728
node161,1904.3718,1893.048
node162,2098.4417,1894.4288
node163,2273.276,1881.9893
node164,2498.403,1827.371
node165,2747.903,1805.6407
node166,2972.2595,1751.9456
node167,3136.6035,1699.3636
node168,3294.9932,1662.0988
node169,3462.9255,1606.385
node170,3608.295,1606.5854
node171,3748.9592,1567.7888
node172,3884.3503,1523.1224
node173,4038.6208,1495.5264
node174,4175.341,1506.346
node175,4335.9624,1517.1276
node176,4485.8813,1521.2296
node177,4659.0186,1504.5039
node178,4831.9893,1481.9105
node179,5021.6953,1447.5428
node180,5204.2134,1423.2194
node181,5366.9834,1383.7292
node182,5550.496,1349.9291
node183,5712.3975,1328.8433
node184,5895.6733,1330.4537
node185,6067.5317,1349.9547
node186,6235.2397,1354.1315
node187,6393.329,1368.0002
node188,6553.2783,1396.537
node189,6758.4526,1402.2418
node190,6937.8906,1407.8673
node191,7112.125,1438.4324
node192,7329.2935,1410.474
node193,7531.2793,1416.1566
node194,7761.2256,1404.5255
node195,8041.4766,1316.3833
node196,813.5049,1653.7838
node197,1092.8881,1832.7666
node198,1345.9454,1926.268
node199,1669.6737,1990.7043
node200,1848.3826,1989.4028
node201,2045.556,1991.7504
node202,2253.9067,1977.194
node203,2491.34,1964.3248
node204,2737.2605,1930.1106
node205,2945.0144,1886.6165
node206,3117.3533,1843.712
node207,3269.943,1806.8016
node208,3439.3955,1775.5186
node209,3593.2593,1740.5054
node210,3744.88,1712.8888
node211,3886.5984,1690.7281
node212,4038.817,1641.1279
node213,4209.7373,1619.7332
node214,4343.0405,1656.6125
node215,4490.763,1660.4591
node216,4660.9395,1651.786
node217,4842.058,1618.4753
node218,5015.9844,1609.6306
node219,5202.591,1577.543
node220,5383.4478,1565.9786
node221,5551.92,1510.6514
node222,5730.094,1515.5887
node223,5920.826,1507.1277
node224,6102.448,1509.2932
node225,6267.3096,1524.5312
node226,6421.4155,1544.1373
node227,6604.1562,1548.6086
node228,6784.583,1569.0695
node229,6995.8423,1575.8027
node230,7167.2734,1599.3168
node231,7369.3735,1577.8842
node232,7618.256,1575.6056
node233,7839.36,1552.248
node234,8106.851,1467.0474
node235,700.6922,1796.3282
node236,1004.8062,1944.4775
node237,1278.5131,2037.5026
node238,1550.5095,2074.1333
node239,1821.705,2115.9495
node240,2001.0739,2120.2073
node241,2204.1523,2103.1423
node242,2439.5352,2081.2363
node243,2675.5408,2051.5125
node244,2898.4048,2025.4167
node245,3076.6956,1995.7288
node246,3254.087,1956.5762
node247,3425.099,1932.5219
node248,3586.0764,1890.2408
node249,3727.8025,1870.1532
node250,3879.5012,1851.3296
node251,4029.144,1835.2725
node252,4223.2188,1826.4146
node253,4373.899,1809.934
node254,4517.929,1803.0728
node255,4695.5537,1785.5344
node256,4830.412,1780.1838
node257,5011.822,1767.8938
node258,5197.8384,1747.2979
node259,5380.209,1743.775
node260,5561.7876,1708.9202
node261,5741.37,1681.047
node262,5936.996,1677.6257
node263,6119.991,1670.2147
node264,6295.362,1672.7408
node265,6463.9204,1697.9406
node266,6638.322,1705.6874
node267,6839.676,1732.975
node268,7043.063,1738.4846
node269,7223.116,1742.644
node270,7422.692,1731.5548
node271,7695.6006,1734.824
node272,7918.2554,1712.2979
node273,8228.283,1605.3218
node274,626.9081,1951.0358
node275,951.2686,2084.98
node276,1193.8019,2144.503
node277,1485.9692,2177.4502
node278,1735.9637,2217.1182
node279,1939.684,2234.0886
node280,2182.4392,2245.4395
node281,2393.8625,2208.9211
