,x,y
node1,1460.4972,1306.0546
node2,1519.5541,1362.9326
node3,1575.7423,1333.5996
node4,1625.9078,1369.5278
node5,1692.1425,1364.496
node6,1754.2844,1361.7815
node7,1821.647,1349.5122
node8,1889.631,1355.8954
node9,1944.4956,1373.4438
node10,2007.1356,1362.4828
node11,2079.4783,1354.537
node12,2166.277,1394.711
node13,2253.8801,1398.9182
node14,2386.3418,1412.392
node15,2495.0276,1387.7351
node16,2594.3242,1293.4291
node17,2691.5369,1211.9756
node18,2775.4634,1179.829
node19,2838.6116,1147.3054
node20,2890.9407,1112.2007
node21,2925.8035,1027.2092
node22,3001.066,1019.0892
node23,3044.728,970.6666
node24,3112.417,947.6672
node25,3191.9143,907.8627
node26,3247.1345,869.1364
node27,3311.5059,834.8264
node28,3383.4695,809.796
node29,3444.1084,782.1081
node30,3492.08,735.7212
node31,3564.2175,750.6306
node32,3623.892,723.7064
node33,3690.1904,706.0848
node34,3745.6863,677.476
node35,3809.6765,644.4578
node36,3885.7332,634.2994
node37,3950.5857,622.9189
node38,4014.6812,647.6074
node39,4081.5789,629.441
node40,4143.3687,629.0837
node41,4208.172,646.8386
node42,4274.83,595.4064
node43,4351.11,616.4268
node44,4425.4673,632.4015
node45,4501.279,643.0564
node46,4578.232,663.2725
node47,4649.9927,692.6134
node48,4722.6377,715.5152
node49,4809.8975,717.6936
node50,4880.4272,698.1586
node51,4972.2407,678.9808
node52,5070.567,660.2896
node53,5149.7646,606.7432
node54,5235.7754,510.0616
node55,5328.193,507.1899
node56,5384.39,458.6331
node57,5450.7134,413.1929
node58,5506.9126,357.9572
node59,5565.2793,329.1147
node60,5650.764,397.1904
node61,5713.5347,355.4888
node62,5782.423,446.3002
node63,5858.142,463.7542
node64,5931.9326,481.4198
node65,6001.753,430.7918
node66,6073.7827,458.5728
node67,6129.2256,418.6803
node68,6186.0723,367.4048
node69,6245.4976,326.1305
node70,6301.1865,253.1748
node71,6392.0474,327.7172
node72,6476.2505,262.2674
node73,6575.483,289.2015
node74,6678.8384,120.759
node75,6783.3174,218.1223
node76,6872.0166,275.5911
node77,6979.8506,325.4516
node78,7091.207,255.2787
node79,7156.7246,299.8202
node80,7203.985,406.91
node81,7297.072,376.3241
node82,7333.425,490.4993
node83,7405.2417,560.3978
node84,7520.1274,552.9718
node85,7538.9526,664.3248
node86,7599.9062,649.5584
node87,7671.758,666.352
node88,1394.4661,1328.0988
node89,1490.9595,1430.2905
node90,1536.1953,1448.4862
node91,1600.2302,1445.1924
node92,1655.422,1450.0253
node93,1723.508,1461.8378
node94,1832.5444,1486.3928
node95,1874.8096,1479.2417
node96,1938.9592,1485.0729
node97,1973.6396,1478.4667
node98,2080.024,1490.54
node99,2157.2737,1490.6538
node100,2280.099,1490.006
node101,2425.0234,1480.6709
node102,2466.1897,1426.077
node103,2621.3372,1397.593
node104,2698.278,1339.129
node105,2805.1865,1295.5028
node106,2862.841,1255.0901
node107,2956.2905,1199.2234
node108,3004.5432,1184.0648
node109,3047.7732,1148.1597
node110,3128.3335,1124.4834
node111,3184.9138,1090.7826
node112,3252.8816,1050.5367
node113,3306.788,1020.8415
node114,3372.786,989.4667
node115,3436.0547,971.5629
node116,3498.7793,932.8207
node117,3566.2527,913.046
node118,3613.0017,882.8928
node119,3665.757,857.2286
node120,3708.7483,846.8029
node121,3772.3533,825.8863
node122,3839.1067,811.3698
node123,3889.0295,838.7614
node124,3949.9504,817.6118
node125,4021.0488,825.5277
node126,4083.4028,825.3702
node127,4137.9585,813.8467
node128,4204.352,824.3767
node129,4270.5024,820.7588
node130,4351.6323,828.3262
node131,4433.8604,807.6397
node132,4483.295,829.588
node133,4577.6562,832.434
node134,4668.274,827.682
node135,4737.5366,843.868
node136,4825.5264,834.7048
node137,4905.2812,812.8731
node138,5003.2607,802.5906
node139,5100.164,774.4903
node140,5162.3867,734.4234
node141,5297.9443,685.5534
node142,5382.0405,670.1338
node143,5434.9434,648.7456
node144,5490.428,635.5094
node145,5573.263,603.992
node146,5610.1885,590.0654
node147,5661.0303,581.8372
node148,5729.7754,577.7778
node149,5784.276,584.0684
node150,5874.342,585.8714
node151,5952.619,583.3255
node152,6010.386,595.9977
node153,6074.873,589.7264
node154,6137.7676,587.1187
node155,6214.0337,579.4517
node156,6278.5034,567.5762
node157,6341.345,555.2512
node158,6411.969,571.8636
node159,6501.4062,546.0021
node160,6587.8994,559.2452
node161,6692.558,559.8622
node162,6777.972,568.2162
node163,6832.188,584.156
node164,6949.6514,553.5874
node165,7034.2817,584.4468
node166,7088.848,593.5078
node167,7152.532,615.5512
node168,7211.0815,632.0258
node169,7299.301,660.3274
node170,7368.2905,699.1068
node171,7436.0713,744.7016
node172,7529.842,777.2364
node173,7573.2734,793.109
node174,7683.491,785.6026
node175,1382.7689,1381.3903
node176,1450.8104,1443.3423
node177,1506.0255,1462.9038
node178,1571.8218,1469.7893
node179,1621.3263,1468.8867
node180,1717.2124,1491.7566
node181,1801.4352,1510.459
node182,1872.2754,1515.3373
node183,1931.0228,1516.5426
node184,2017.8472,1530.436
node185,2088.8994,1523.2798
node186,2167.4624,1519.107
node187,2270.2295,1517.4316
node188,2359.4485,1505.5917
node189,2464.1375,1467.8911
node190,2594.8635,1424.269
node191,2692.3127,1379.1328
node192,2792.6787,1341.634
node193,2865.53,1295.6726
node194,2935.5986,1251.7981
node195,2998.0898,1230.1401
node196,3065.7917,1206.7295
node197,3123.4326,1167.9034
node198,3188.3652,1136.1821
node199,3256.5757,1111.662
node200,3336.261,1078.2284
node201,3393.308,1052.029
node202,3442.8457,1022.4445
node203,3505.4795,985.353
node204,3556.0632,957.9453
node205,3605.9524,931.5555
node206,3671.6067,894.7128
node207,3728.0627,890.2302
node208,3780.7527,890.8751
node209,3841.8376,867.0743
node210,3914.0427,883.1544
node211,3979.3225,875.2479
node212,4033.8567,885.9869
node213,4091.436,875.6788
node214,4151.9976,874.6049
node215,4209.671,876.5674
node216,4277.1206,872.1523
node217,4352.1387,872.2095
node218,4413.606,876.174
node219,4508.9307,880.2493
node220,4570.936,891.147
node221,4664.4263,892.9825
node222,4744.4746,888.8497
node223,4815.987,884.1379
node224,4920.9663,880.5106
node225,5006.868,866.6021
node226,5093.0776,830.0098
node227,5154.856,800.483
node228,5320.2017,760.3164
node229,5377.0947,734.0232
node230,5441.7905,699.575
node231,5494.6914,673.8219
node232,5561.7954,673.1806
node233,5604.0605,634.4598
node234,5672.986,629.2304
node235,5726.7925,625.3023
node236,5791.7837,633.805
node237,5862.812,640.7141
node238,5948.016,655.486
node239,6008.539,644.5268
node240,6082.789,644.6645
node241,6158.464,636.4558
node242,6224.3086,633.0392
node243,6277.178,627.0672
node244,6356.94,619.5793
node245,6428.806,627.5426
node246,6506.4644,620.2417
node247,6601.108,645.0116
node248,6679.3823,639.155
node249,6786.762,653.0885
node250,6865.154,655.9912
node251,6980.3906,641.015
node252,7014.152,672.6585
node253,7231.713,694.7033
node254,7300.335,725.4384
node255,7379.169,758.161
node256,7458.3975,785.806
node257,7555.8706,838.8655
node258,7605.6377,846.8582
node259,7703.511,839.2041
node260,1318.6376,1365.9954
node261,1406.3054,1474.9324
node262,1448.1698,1488.254
node263,1523.1716,1498.359
node264,1588.1399,1509.1927
node265,1701.6882,1535.3541
node266,1801.1938,1553.0399
node267,1859.1918,1550.3857
node268,1922.6808,1550.304
node269,2006.0774,1556.3641
node270,2081.6184,1563.3684
node271,2163.4756,1568.9418
node272,2240.3035,1556.6229
node273,2370.2056,1551.9436
node274,2449.029,1519.9923
node275,2575.7156,1481.7993
node276,2699.907,1421.9471
node277,2780.822,1386.778
node278,2862.5747,1362.5817
node279,2928.3945,1323.6617
node280,2994.4285,1290.3456
node281,3058.1345,1257.4827
node282,3125.7432,1228.6774
node283,3190.8262,1198.3135
node284,3272.1558,1170.9158
node285,3328.3792,1156.8721
node286,3392.9417,1125.027
node287,3446.9663,1096.0813
node288,3510.109,1076.9816
node289,3561.1096,1034.135
node290,3611.4895,1006.6696
node291,3675.327,976.9069
node292,3724.3188,964.4736
node293,3809.3735,992.0446
node294,3867.4668,954.3365
node295,3919.6443,963.1362
node296,3980.268,963.3805
node297,4044.391,957.4946
node298,4107.449,955.2146
node299,4159.292,960.6693
node300,4216.6484,962.8606
node301,4279.764,956.6522
node302,4353.254,951.7805
node303,4432.951,953.3645
node304,4509.708,954.4993
node305,4595.89,946.478
node306,4665.7114,965.7118
node307,4752.936,967.0458
node308,4839.9497,957.4125
node309,4920.15,943.413
node310,5005.6475,948.975
node311,5090.199,908.4875
node312,5204.0195,909.0934
node313,5325.2188,847.7856
node314,5360.317,827.8974
node315,5443.31,780.0654
node316,5502.9634,751.4383
node317,5566.8247,729.1225
node318,5613.001,712.4404
node319,5685.466,717.7004
node320,5739.269,705.4468
node321,5791.4385,717.5733
node322,5875.09,719.6608
node323,5946.7007,724.0956
node324,6019.1177,724.4172
node325,6084.8438,729.648
node326,6163.561,708.028
node327,6222.669,721.1473
node328,6287.683,714.0567
node329,6362.3613,711.5888
node330,6434.412,713.5801
node331,6513.1035,721.2612
node332,6611.9697,733.7362
node333,6699.06,743.4668
node334,6775.084,770.6623
node335,6888.887,781.4544
node336,6979.2393,732.1024
node337,7050.328,770.2531
node338,7088.395,804.8272
node339,7167.965,784.9495
node340,7228.8022,809.3184
node341,7313.466,807.4933
node342,7407.6577,845.6229
node343,7590.683,903.1802
node344,7636.4,906.3878
node345,7768.485,878.8129
node346,1256.4086,1386.3363
node347,1351.5726,1499.7068
node348,1391.7451,1525.6656
node349,1477.1678,1547.5602
node350,1560.4789,1561.3931
node351,1665.2952,1572.2124
node352,1750.927,1590.338
node353,1830.8026,1601.5548
node354,1907.539,1607.5116
node355,2003.4338,1612.9795
node356,2064.2905,1618.2927
node357,2148.0068,1618.3763
node358,2254.9373,1616.7708
node359,2351.9995,1608.9214
node360,2439.6938,1578.7838
node361,2552.7869,1551.6248
node362,2664.986,1513.2721
node363,2770.6428,1460.2861
node364,2846.4827,1432.8103
node365,2922.0967,1388.8973
node366,2996.0718,1359.5256
node367,3064.4614,1332.2495
node368,3140.7146,1324.3444
node369,3200.0112,1280.6873
node370,3278.682,1264.619
node371,3331.4336,1233.127
node372,3403.7075,1229.3757
node373,3452.723,1179.3068
node374,3510.2463,1160.0206
node375,3568.8655,1132.5244
node376,3620.7163,1116.0455
node377,3674.602,1065.1188
node378,3741.8765,1055.9559
node379,3807.9136,1061.2583
node380,3871.0957,1046.9573
node381,3933.9272,1057.8335
node382,3991.348,1057.8997
node383,4044.0012,1062.6326
node384,4104.3525,1045.7501
node385,4166.309,1053.079
node386,4233.329,1041.1368
node387,4294.6416,1039.026
node388,4372.9395,1054.6895
node389,4438.282,1054.7275
node390,4516.1187,1044.9727
node391,4600.22,1043.126
node392,4680.3,1028.156
node393,4771.473,1058.1748
node394,4848.498,1061.5016
node395,4931.4697,1020.0392
node396,5010.3945,1023.8672
node397,5106.2695,1006.8375
node398,5195.9805,977.6502
node399,5279.613,955.1622
node400,5370.148,897.8694
node401,5443.6626,898.7045
node402,5508.106,850.8951
node403,5570.435,814.2414
node404,5627.2417,816.0018
node405,5677.6216,810.7864
node406,5756.8477,806.2755
node407,5820.8755,816.1252
node408,5882.5864,812.7555
node409,5961.349,830.7254
node410,6034.2314,833.8902
node411,6099.4077,831.0842
node412,6166.8345,804.9158
node413,6234.8135,822.6198
node414,6309.647,821.805
node415,6377.5635,815.7396
node416,6451.5713,833.684
node417,6531.157,851.9188
node418,6626.016,849.0521
node419,6704.249,876.8531
node420,6797.643,874.7319
node421,6885.2153,870.381
node422,6963.9873,900.8203
node423,7044.9585,892.3406
node424,7112.541,902.7988
node425,7168.439,913.2296
node426,7241.7046,909.8333
node427,7321.605,929.1819
node428,7443.6025,966.7572
node429,7525.9497,970.2846
node430,7601.647,980.36
node431,7677.5215,987.9612
node432,7776.4497,961.8303
node433,1194.464,1425.2148
node434,1291.5457,1542.4216
node435,1336.9243,1570.4425
node436,1416.5604,1593.0148
node437,1506.3453,1605.8884
node438,1620.023,1641.0043
node439,1718.04,1655.0602
node440,1814.7214,1666.1781
node441,1885.9684,1651.0012
node442,1982.2258,1675.3828
node443,2046.8818,1695.9054
node444,2145.293,1708.8134
node445,2251.278,1684.779
node446,2334.36,1660.5951
node447,2421.736,1640.2479
node448,2532.2778,1613.427
node449,2645.4143,1588.3447
node450,2738.7957,1547.4869
node451,2832.276,1516.56
node452,2908.3794,1494.4719
node453,2980.749,1452.9122
node454,3056.1309,1434.5347
node455,3126.3875,1400.0991
node456,3210.1252,1380.0292
node457,3277.3333,1369.6572
node458,3335.4812,1341.4304
node459,3396.8435,1310.8667
node460,3458.1155,1289.5232
node461,3512.024,1261.0225
node462,3573.6123,1261.4556
node463,3629.7688,1232.4348
node464,3686.3977,1213.9426
node465,3770.5564,1193.2395
node466,3827.026,1176.2509
node467,3894.0671,1179.5748
node468,3950.047,1168.0605
node469,4007.794,1173.7926
node470,4063.1985,1171.042
node471,4120.276,1159.37
node472,4173.952,1148.6298
node473,4238.574,1157.9377
node474,4306.2383,1149.8029
node475,4377.5063,1160.9684
node476,4451.988,1166.0961
node477,4534.112,1168.4341
node478,4620.662,1157.5802
node479,4708.235,1144.4707
node480,4789.372,1154.7585
node481,4873.693,1132.9092
node482,4929.797,1128.674
node483,5036.4644,1124.4966
node484,5092.6523,1115.347
node485,5196.033,1104.0516
node486,5279.4883,1067.6353
node487,5374.982,1038.4355
node488,5440.5864,1034.3976
node489,5504.766,987.9928
node490,5568.1577,960.8864
node491,5632.524,943.2977
node492,5700.951,939.4417
node493,5759.6255,925.4247
node494,5841.336,941.3315
node495,5900.392,935.2227
node496,5982.383,955.0615
node497,6045.6323,967.0222
node498,6123.7144,963.1813
node499,6177.7266,922.3532
node500,6255.1206,939.2455
node501,6326.386,951.7435
node502,6403.9014,982.3376
node503,6480.69,977.6524
node504,6571.0957,981.6552
node505,6650.6025,994.8329
node506,6731.377,1009.923
node507,6815.8833,1021.349
node508,6896.251,1027.72
node509,6980.5503,1016.4779
node510,7048.2383,1052.8381
node511,7126.596,1028.4425
node512,7187.6,1042.6462
node513,7270.658,1044.8098
node514,7338.0063,1082.9946
node515,7476.183,1084.4901
node516,7575.357,1078.4565
node517,7649.4434,1079.216
node518,7720.217,1075.0841
node519,7844.237,1028.8245
node520,1129.1033,1460.2816
node521,1217.4047,1559.4058
node522,1281.3541,1591.5853
node523,1351.2418,1620.3088
node524,1441.1305,1659.7091
node525,1586.4248,1693.7657
node526,1693.5887,1714.1426
node527,1789.662,1723.2836
node528,1867.8477,1726.0234
node529,1965.613,1749.846
node530,2041.3636,1737.2202
node531,2126.0247,1739.647
node532,2211.3203,1733.8098
node533,2305.8528,1717.2698
node534,2403.542,1702.5742
node535,2509.3828,1673.3793
node536,2612.9702,1659.1404
node537,2723.6013,1619.1785
node538,2805.8733,1600.3091
node539,2889.479,1567.129
node540,2962.3953,1545.6805
node541,3049.6082,1538.1445
node542,3116.8022,1496.3577
node543,3204.9377,1475.8333
node544,3268.1892,1444.5444
node545,3347.1313,1434.6973
node546,3405.0923,1410.4196
node547,3461.578,1391.7599
node548,3512.1152,1368.3984
node549,3574.4324,1354.079
node550,3638.0295,1351.5941
node551,3691.58,1329.6469
node552,3763.9568,1323.4386
node553,3834.484,1312.2837
node554,3904.6792,1286.0681
