,x,y
node1,1455.9644,1296.4503
node2,1487.9557,1337.8763
node3,1520.467,1356.4497
node4,1555.7281,1319.7587
node5,1587.0305,1339.6296
node6,1617.9604,1373.6505
node7,1657.8232,1352.148
node8,1700.1224,1354.7188
node9,1743.8062,1359.751
node10,1788.2635,1363.7484
node11,1818.6584,1343.9319
node12,1855.2062,1333.1666
node13,1892.3029,1358.1869
node14,1927.0034,1372.7932
node15,1963.0784,1359.6927
node16,2000.6012,1349.7039
node17,2043.4095,1367.348
node18,2092.8064,1360.311
node19,2146.766,1378.4589
node20,2204.578,1396.5491
node21,2253.9172,1394.2976
node22,2311.719,1388.6978
node23,2411.4695,1410.7299
node24,2467.1826,1384.6519
node25,2543.8486,1333.4865
node26,2596.1965,1286.6676
node27,2644.1104,1236.2306
node28,2702.8157,1202.9633
node29,2762.2214,1185.6687
node30,2803.35,1151.3385
node31,2850.0989,1146.5541
node32,2875.491,1116.1193
node33,2902.427,1085.4241
node34,2915.622,1031.5222
node35,2953.0947,1020.4977
node36,2990.8948,999.9778
node37,3022.6372,980.7238
node38,3060.926,966.0013
node39,3107.2092,954.1757
node40,3131.5454,911.09
node41,3187.1948,897.9238
node42,3223.3948,879.6024
node43,3259.0144,851.5003
node44,3303.9343,836.9928
node45,3350.163,810.9262
node46,3385.7031,801.2232
node47,3416.3767,778.7469
node48,3456.0615,766.4731
node49,3488.9475,752.06
node50,3526.8655,740.3286
node51,3558.6433,730.1576
node52,3599.1184,727.156
node53,3630.2207,707.2976
node54,3675.4272,704.6237
node55,3713.139,690.8539
node56,3748.067,672.5016
node57,3785.606,650.561
node58,3826.9517,638.8684
node59,3871.984,624.4466
node60,3916.5005,618.3984
node61,3957.3171,628.3313
node62,3998.304,633.8217
node63,4040.612,622.6873
node64,4078.3765,620.153
node65,4112.8154,618.2836
node66,4148.3403,649.0086
node67,4186.6562,614.9828
node68,4224.163,625.7389
node69,4265.4595,597.3041
node70,4311.578,586.7777
node71,4356.5337,599.4844
node72,4403.294,614.5155
node73,4449.6304,631.3818
node74,4497.2495,627.7722
node75,4541.019,638.4149
node76,4589.596,636.8038
node77,4627.1494,685.2102
node78,4670.355,693.8336
node79,4715.711,710.2096
node80,4758.955,702.5396
node81,4812.8677,724.3688
node82,4855.9087,695.6578
node83,4906.0537,677.75
node84,4966.8594,676.8884
node85,5024.8276,664.2918
node86,5084.154,647.6178
node87,5130.4824,629.4512
node88,5170.9214,568.1034
node89,5219.8203,517.1082
node90,5267.212,482.8436
node91,5326.3438,482.5526
node92,5376.976,486.106
node93,5401.6045,429.2353
node94,5443.155,412.8068
node95,5478.905,373.3932
node96,5504.8296,304.7452
node97,5544.126,306.7292
node98,5591.335,355.4972
node99,5640.4614,376.6384
node100,5686.8975,348.8052
node101,5721.3984,339.6778
node102,5761.6772,407.4342
node103,5804.0845,469.3451
node104,5848.9775,449.6528
node105,5889.206,465.7572
node106,5939.1763,472.8536
node107,5985.3086,443.1393
node108,6024.3267,427.0918
node109,6069.23,447.5916
node110,6106.6396,443.5406
node111,6135.274,395.2141
node112,6165.2036,366.6502
node113,6203.61,361.4494
node114,6237.2925,335.4432
node115,6268.2505,280.5748
node116,6306.8545,208.308
node117,6369.5176,268.7128
node118,6421.703,259.9733
node119,6478.989,272.5343
node120,6590.2646,210.9848
node121,6650.3916,125.6609
node122,6716.8247,152.7109
node123,6778.177,175.8086
node124,6840.727,173.2037
node125,6904.346,319.1907
node126,6975.167,306.03
node127,7040.589,253.6368
node128,7108.1577,234.8999
node129,7151.5337,255.3834
node130,7168.079,358.4297
node131,7211.921,376.2654
node132,7248.772,390.9073
node133,7299.472,370.8622
node134,7326.9326,414.6863
node135,7343.939,484.1879
node136,7378.5703,544.447
node137,7442.6914,541.258
node138,7505.468,551.8603
node139,7528.1914,603.2364
node140,7556.539,654.6966
node141,7595.7935,648.3274
node142,7639.905,652.3941
node143,7688.5786,657.9015
node144,1418.3586,1300.306
node145,1464.5281,1350.595
node146,1506.1956,1397.053
node147,1536.1248,1380.6558
node148,1568.2522,1392.0953
node149,1603.0215,1408.1714
node150,1649.5726,1391.9768
node151,1687.6196,1397.5342
node152,1732.8862,1395.2388
node153,1788.2104,1370.6465
node154,1818.6504,1342.3279
node155,1855.3574,1359.1917
node156,1888.0482,1398.2529
node157,1923.3322,1403.4336
node158,1959.685,1406.4016
node159,1997.65,1356.7621
node160,2041.5704,1371.1938
node161,2099.085,1368.5673
node162,2147.8293,1436.5067
