,x,y
node1,1471.5992,1362.7391
node2,1674.0405,1432.582
node3,1887.9154,1420.408
node4,2169.039,1444.1312
node5,2515.1287,1402.4288
node6,2822.0752,1226.8944
node7,3007.9941,1073.657
node8,3229.3914,960.0499
node9,3435.7493,857.6728
node10,3637.3867,781.253
node11,3841.6045,691.6148
node12,4069.8171,709.1543
node13,4290.817,701.9326
node14,4547.585,735.1646
node15,4819.025,769.0732
node16,5097.0854,667.7459
node17,5393.558,559.5224
node18,5609.1753,443.619
node19,5825.3794,494.4752
node20,6080.9414,492.0395
node21,6314.0186,409.7948
node22,6620.48,375.9368
node23,6918.2,407.795
node24,7193.6514,426.6827
node25,7389.7466,639.8888
node26,7627.5864,723.6356
node27,1316.211,1450.5447
node28,1548.1252,1605.4576
node29,1837.4232,1614.7206
node30,2122.6113,1624.6692
node31,2429.7883,1582.4187
node32,2800.4907,1469.6697
node33,3057.611,1364.7303
node34,3299.888,1256.9532
node35,3497.6455,1179.586
node36,3705.0137,1115.6602
node37,3916.4731,1076.5391
node38,4096.3257,1065.2948
node39,4318.418,1063.4175
node40,4576.6826,1067.659
node41,4858.531,1052.4979
node42,5158.661,991.9843
node43,5458.6616,904.2676
node44,5645.189,842.7237
node45,5870.935,826.0842
node46,6105.57,830.669
node47,6344.2427,830.2155
node48,6624.4556,882.7603
node49,6897.083,920.136
node50,7166.5425,937.5303
node51,7373.228,985.9351
node52,7722.1855,972.0294
node53,1109.5818,1521.3376
node54,1413.6887,1729.9615
node55,1742.2056,1774.1982
node56,2084.4973,1795.7078
node57,2390.463,1760.5942
node58,2707.9465,1663.6545
node59,3016.6047,1581.6183
node60,3267.6853,1514.388
node61,3485.0664,1431.7216
node62,3682.892,1377.5784
node63,3918.0676,1329.86
node64,4115.6406,1309.8528
node65,4364.865,1335.9935
node66,4599.426,1336.233
node67,4885.4707,1318.3273
node68,5154.018,1253.0763
node69,5436.4897,1165.6669
node70,5663.7114,1135.3763
node71,5901.596,1126.2767
node72,6159.876,1141.8688
node73,6416.003,1172.9124
node74,6685.0977,1183.6748
node75,6963.653,1203.0623
node76,7259.6274,1211.1726
node77,7527.9585,1258.9376
node78,7883.356,1184.9939
node79,895.8215,1627.6072
node80,1299.9304,1880.7177
node81,1664.8284,1907.2166
node82,1997.8638,1952.3499
node83,2307.4214,1950.9086
node84,2664.3928,1895.3046
node85,2974.3306,1840.5048
node86,3230.792,1760.724
node87,3475.0789,1723.6396
node88,3694.1572,1670.2234
node89,3913.94,1612.9791
node90,4143.9126,1569.7628
node91,4384.69,1597.2076
node92,4639.7163,1587.6776
node93,4876.2925,1556.0278
node94,5159.532,1520.9113
node95,5430.511,1469.4808
node96,5698.3677,1443.4519
node97,5979.594,1431.2429
node98,6226.228,1444.2588
node99,6480.4365,1473.469
node100,6743.317,1492.0612
node101,7038.5337,1522.6978
node102,7344.424,1516.0485
node103,7661.563,1528.714
node104,8049.4727,1424.4933
node105,724.6226,1827.8073
node106,1212.5671,2056.0151
node107,1528.4623,2087.897
node108,1911.71,2125.3105
node109,2227.2656,2128.3167
node110,2573.382,2078.391
node111,2920.3403,2035.2178
node112,3201.884,1996.1353
node113,3462.284,1951.1658
node114,3685.6753,1900.3518
node115,3923.464,1866.4562
node116,4190.0195,1863.4594
node117,4408.761,1826.3602
node118,4651.494,1811.3785
node119,4882.1035,1796.9902
node120,5152.676,1773.6667
node121,5437.917,1745.5156
node122,5717.9478,1704.1877
node123,5998.049,1698.7524
node124,6284.43,1688.5076
node125,6540.5483,1722.4614
node126,6808.1,1749.2856
node127,7114.041,1759.7205
node128,7417.0063,1764.0946
node129,7772.0127,1767.874
node130,8191.464,1648.172
node131,629.3607,2058.515
node132,1094.9017,2223.8684
node133,1454.435,2257.5776
node134,1826.976,2300.217
node135,2180.813,2311.44
node136,2518.6174,2282.7742
node137,2862.6382,2240.1582
node138,3139.7708,2195.8108
node139,3399.4949,2151.8936
node140,3660.8047,2134.8782
node141,3905.7473,2091.6672
node142,4166.984,2062.3865
node143,4406.228,2044.4114
node144,4647.467,2021.2642
node145,4911.0454,2015.1984
node146,5160.551,1999.5328
node147,5439.2554,1985.0758
node148,5731.3066,1980.8486
node149,6000.279,1953.7496
node150,6315.4336,1937.7854
node151,6599.62,1952.0673
node152,6890.7134,1988.1132
node153,7199.8047,1995.7662
node154,7529.2344,2000.1074
node155,7862.4014,1993.0376
node156,8297.21,1887.7194
node157,566.5156,2301.3472
node158,1016.9528,2415.0361
node159,1363.207,2471.751
node160,1766.823,2497.7976
node161,2077.4375,2508.5208
node162,2450.4521,2497.844
node163,2787.118,2458.0842
node164,3086.777,2420.5757
node165,3364.7908,2387.893
node166,3626.475,2342.1724
node167,3898.181,2311.534
node168,4153.241,2293.018
node169,4416.1797,2266.9941
node170,4663.9424,2259.0984
node171,4922.456,2247.3916
node172,5191.9194,2224.4436
node173,5466.14,2204.335
node174,5745.4214,2219.401
node175,6037.9106,2203.6768
node176,6342.408,2218.0806
node177,6674.3906,2214.5935
node178,6959.328,2237.5515
node179,7275.2856,2230.242
node180,7607.0474,2232.0764
node181,7927.908,2215.8892
node182,8373.422,2125.93
node183,507.8278,2541.0564
node184,953.2889,2636.2036
node185,1316.701,2666.4329
node186,1720.9944,2685.4326
node187,2029.7375,2703.0024
node188,2389.1614,2695.0518
node189,2736.3726,2650.1904
node190,3025.5916,2624.7615
node191,3303.5671,2586.4583
node192,3605.9497,2575.2495
node193,3880.7637,2550.7446
node194,4149.4204,2530.9927
node195,4378.7188,2519.9692
node196,4645.0815,2508.8877
node197,4922.3706,2486.3074
node198,5195.8364,2438.9636
node199,5490.7783,2433.4175
node200,5775.2285,2430.4548
node201,6066.5137,2441.1458
node202,6373.741,2451.791
node203,6726.2554,2442.7617
node204,7019.1504,2458.7566
node205,7316.924,2457.3901
node206,7658.9287,2453.3193
node207,7968.8594,2429.1797
node208,8412.957,2375.7542
node209,467.4846,2781.589
node210,908.6212,2857.121
node211,1284.0609,2853.1938
node212,1629.5757,2885.3096
node213,1966.1595,2883.1543
node214,2335.0159,2872.507
node215,2681.2078,2852.1282
node216,2981.2795,2818.19
node217,3276.4065,2797.526
node218,3567.7812,2786.835
node219,3868.7285,2777.9258
node220,4145.4673,2756.1091
node221,4366.4917,2740.008
node222,4622.228,2727.7249
node223,4883.792,2702.369
node224,5167.081,2682.207
node225,5521.3467,2657.3254
node226,5802.8916,2656.3062
node227,6116.727,2648.1067
node228,6400.363,2666.1577
node229,6739.9834,2678.2603
node230,7055.4946,2675.8892
node231,7358.742,2682.3423
node232,7706.26,2667.2876
node233,8004.213,2658.3125
node234,8447.775,2598.5715
node235,381.2283,3020.407
node236,865.6858,3076.1516
node237,1154.3467,3109.6511
node238,1608.1866,3097.4258
node239,1925.0912,3086.0417
node240,2262.673,3076.2864
node241,2632.9404,3053.4004
node242,2919.4194,3021.3982
node243,3250.5662,3017.997
node244,3548.4285,2981.4377
node245,3864.5935,2987.9302
node246,4126.928,2977.1272
node247,4384.2886,2955.2354
node248,4616.26,2933.8035
node249,4851.8413,2935.7659
node250,5162.0356,2924.55
node251,5497.619,2887.6694
node252,5829.277,2872.38
node253,6119.292,2861.4297
node254,6424.319,2876.735
node255,6751.1094,2870.8499
node256,7064.2705,2889.8704
node257,7387.2026,2894.5315
node258,7736.7466,2883.2273
node259,8031.1226,2864.8608
node260,8492.396,2846.4795
node261,365.9013,3275.5515
node262,854.1125,3297.4033
node263,1193.0743,3310.908
node264,1579.499,3301.189
node265,1886.565,3288.185
node266,2239.3267,3281.3423
node267,2574.1633,3258.9524
node268,2891.3591,3241.1357
node269,3197.7542,3214.8423
node270,3528.1233,3208.5693
node271,3843.9924,3191.6985
node272,4105.9956,3176.0137
node273,4357.2246,3162.6685
node274,4615.7256,3139.838
node275,4868.928,3150.3623
node276,5149.642,3159.268
node277,5488.452,3135.7136
node278,5803.128,3098.401
node279,6129.292,3092.7944
node280,6419.108,3086.1523
node281,6757.4775,3104.6282
node282,7073.4194,3096.6897
node283,7386.8545,3092.846
node284,7737.8506,3091.9753
node285,8055.669,3099.886
node286,8487.418,3101.709
node287,351.9481,3515.84
node288,826.2287,3541.4473
node289,1176.7615,3517.7908
node290,1550.4562,3503.1204
node291,1844.732,3496.576
node292,2205.4412,3479.7993
node293,2550.676,3463.4128
node294,2884.197,3454.0588
node295,3196.9636,3443.6829
node296,3520.2732,3425.2893
node297,3813.2627,3413.8152
node298,4062.1584,3400.0012
node299,4353.98,3386.171
node300,4602.495,3374.464
node301,4882.564,3359.6636
node302,5150.8955,3355.1577
node303,5441.381,3346.9116
node304,5782.2554,3331.8132
node305,6118.3135,3325.3398
node306,6403.141,3293.0483
node307,6739.3394,3301.1245
node308,7051.0186,3291.1497
node309,7367.6255,3306.18
node310,7740.62,3302.5952
node311,8042.0474,3319.8235
node312,8484.975,3345.1675
node313,339.7523,3775.839
node314,797.7776,3781.5215
node315,1154.9254,3729.4673
node316,1533.7576,3700.546
node317,1850.9224,3702.7856
node318,2193.822,3687.1367
node319,2535.9487,3673.61
node320,2860.1829,3653.787
node321,3182.1511,3652.6523
node322,3513.482,3656.2937
node323,3789.9788,3631.0227
node324,4051.5513,3615.128
node325,4350.36,3607.2715
node326,4585.3057,3605.83
node327,4850.6265,3590.1753
node328,5148.447,3569.748
node329,5422.2524,3546.06
node330,5742.6904,3537.6987
node331,6077.989,3513.266
node332,6378.5225,3492.569
node333,6710.93,3484.027
node334,7010.645,3487.1616
node335,7363.6113,3500.2896
node336,7719.32,3528.8533
node337,8024.7393,3538.3591
node338,8472.064,3600.66
node339,349.4917,4019.4956
node340,805.1792,3973.9497
node341,1131.1759,3941.3547
node342,1519.264,3921.3828
node343,1856.2426,3906.7449
node344,2219.694,3886.5835
node345,2539.801,3874.174
node346,2872.3896,3882.1936
node347,3177.805,3867.1755
node348,3504.5989,3859.2107
node349,3776.1196,3839.5603
node350,4048.7827,3837.272
node351,4343.645,3835.7993
node352,4577.668,3821.8313
node353,4834.497,3789.077
node354,5104.0933,3771.498
node355,5358.526,3747.5283
node356,5694.652,3726.8145
node357,6018.359,3702.4373
node358,6306.806,3677.339
node359,6667.5166,3667.4375
node360,6980.1206,3679.2668
node361,7306.733,3702.5415
node362,7681.8105,3747.869
node363,7982.8887,3766.8115
node364,8391.732,3846.3147
node365,388.5519,4258.706
node366,849.8201,4184.134
node367,1172.5952,4165.769
node368,1554.7024,4124.8535
node369,1890.4888,4106.5493
