,x,y
node1,1494.8622,1406.1204
node2,1806.6237,1463.9965
node3,2156.076,1484.113
node4,2652.8389,1376.3787
node5,2994.271,1126.6318
node6,3313.6106,973.5506
node7,3616.2903,818.9893
node8,3918.161,737.0016
node9,4239.0938,749.929
node10,4609.753,791.6354
node11,5042.619,741.5202
node12,5453.3926,568.3902
node13,5748.8467,510.9006
node14,6121.813,512.2669
node15,6482.6357,476.2798
node16,6930.8374,442.168
node17,7263.778,596.4446
node18,7602.1567,755.7154
node19,1247.1624,1524.2826
node20,1657.3124,1735.5564
node21,2098.8594,1740.349
node22,2548.0168,1651.8712
node23,3009.3357,1497.7197
node24,3383.7305,1364.0192
node25,3676.8303,1285.5386
node26,3995.61,1207.4381
node27,4286.6025,1206.449
node28,4661.651,1209.1422
node29,5085.2764,1166.1403
node30,5491.759,1053.3937
node31,5806.6094,994.7589
node32,6151.188,992.7708
node33,6538.6606,1039.5922
node34,6927.7046,1080.0685
node35,7286.2207,1149.4431
node36,7754.8833,1088.1003
node37,921.9836,1648.7334
node38,1447.8578,1941.3538
node39,1985.968,1964.4427
node40,2442.343,1935.9692
node41,2935.9514,1856.1768
node42,3316.8442,1741.4536
node43,3663.2844,1667.7875
node44,3980.566,1576.9788
node45,4360.621,1590.6282
node46,4699.885,1576.1576
node47,5066.1387,1519.7871
node48,5460.5015,1467.5796
node49,5858.2437,1422.4694
node50,6256.069,1448.5728
node51,6625.774,1493.5134
node52,7045.5176,1527.1743
node53,7472.5913,1534.4314
node54,7998.43,1419.833
node55,706.6154,1960.5981
node56,1347.7716,2174.8545
node57,1850.3422,2210.4958
node58,2361.0996,2224.5596
node59,2871.6519,2146.8914
node60,3262.878,2073.8962
node61,3627.8435,1987.5284
node62,3978.74,1954.7656
node63,4350.4775,1927.066
node64,4696.1055,1917.237
node65,5064.8843,1896.4362
node66,5463.322,1868.5242
node67,5892.2446,1844.3328
node68,6328.665,1819.211
node69,6713.6377,1846.291
node70,7163.6743,1865.5796
node71,7636.9814,1890.6036
node72,8199.823,1741.4542
node73,616.2552,2310.4988
node74,1233.358,2461.0898
node75,1766.2292,2488.1306
node76,2287.6338,2503.2263
node77,2763.7024,2448.0854
node78,3205.4941,2404.397
node79,3571.7295,2323.335
node80,3966.9392,2276.2834
node81,4330.4717,2255.4243
node82,4713.1436,2231.9038
node83,5108.334,2208.029
node84,5510.39,2197.688
node85,5901.213,2192.1663
node86,6384.407,2188.0352
node87,6820.2754,2207.1714
node88,7277.757,2198.2458
node89,7754.6914,2210.1143
node90,8303.951,2102.9407
node91,545.2111,2657.0679
node92,1127.4681,2739.9778
node93,1670.7166,2788.759
node94,2163.0195,2778.3838
node95,2687.9546,2739.6824
node96,3117.1042,2698.4
node97,3531.3635,2665.9878
node98,3956.184,2632.8418
node99,4310.8384,2619.8123
node100,4695.7197,2591.8599
node101,5085.956,2546.3962
node102,5559.6753,2517.032
node103,5989.658,2516.8057
node104,6399.044,2534.7776
node105,6892.496,2530.327
node106,7351.6353,2525.9973
node107,7826.4463,2524.0398
node108,8385.563,2464.7976
node109,449.7782,3009.5417
node110,1004.849,3080.613
node111,1633.1481,3067.3477
node112,2105.3633,3070.771
node113,2618.6582,3023.7446
node114,3055.2974,3005.7876
node115,3499.3145,2964.2617
node116,3932.557,2949.8394
node117,4318.3477,2922.0103
node118,4684.3965,2910.8284
node119,5080.982,2888.3062
node120,5553.0312,2858.383
node121,6025.5693,2832.3887
node122,6463.596,2848.964
node123,6925.6865,2849.8352
node124,7384.986,2840.3958
node125,7854.8257,2842.384
node126,8437.929,2823.6904
node127,413.3317,3365.36
node128,1056.3622,3390.8823
node129,1555.9011,3377.46
node130,2060.9587,3364.8467
node131,2537.08,3339.6543
node132,3014.8076,3318.8633
node133,3485.7532,3283.5203
node134,3910.611,3255.643
node135,4293.129,3214.65
node136,4684.963,3218.346
node137,5083.0405,3220.6182
node138,5514.192,3200.4358
node139,5997.262,3160.987
node140,6443.8716,3152.675
node141,6921.2153,3156.0298
node142,7392.758,3148.495
node143,7863.2114,3166.986
node144,8428.589,3179.8977
node145,415.1874,3746.84
node146,1011.0444,3709.3691
node147,1522.7367,3656.0957
node148,2026.8662,3667.5725
node149,2511.3057,3648.758
node150,2993.8816,3612.8936
node151,3464.5437,3614.1553
node152,3866.735,3573.6953
node153,4281.5444,3559.5771
node154,4647.6187,3557.7524
node155,5071.363,3531.6335
node156,5467.489,3505.8235
node157,5958.5474,3472.6255
node158,6400.886,3442.3108
node159,6855.9697,3428.1624
node160,7363.362,3445.151
node161,7850.5312,3488.8433
node162,8440.367,3543.6355
node163,410.5185,4080.1455
node164,993.9683,4011.757
node165,1529.3972,3973.5784
node166,2010.5388,3954.5657
node167,2499.5198,3953.493
node168,2981.0151,3934.2275
node169,3452.4993,3913.9912
node170,3844.528,3888.078
node171,4267.898,3886.118
node172,4617.525,3863.71
node173,5002.432,3847.348
node174,5388.9287,3798.3723
node175,5866.684,3750.6653
node176,6321.4204,3720.1416
node177,6827.6934,3706.7395
node178,7298.7,3753.7556
node179,7782.9233,3802.1208
