,x,y
node1,1456.5967,1329.7207
node2,1564.0311,1355.2104
node3,1654.1188,1381.4814
node4,1770.721,1363.9557
node5,1882.0605,1380.6339
node6,1974.8033,1383.9086
node7,2109.8572,1381.4761
node8,2250.383,1403.5725
node9,2474.008,1401.0868
node10,2637.1975,1290.3872
node11,2784.2231,1183.3539
node12,2889.8025,1119.8097
node13,2987.08,1042.0897
node14,3079.945,972.2396
node15,3210.1895,924.2222
node16,3300.9048,862.1011
node17,3409.6753,809.9394
node18,3517.7393,754.4427
node19,3626.4575,749.8808
node20,3736.8745,688.5966
node21,3842.4685,657.303
node22,3961.8037,641.469
node23,4074.2776,660.3427
node24,4186.3647,666.9582
node25,4296.9214,622.2388
node26,4424.922,653.5178
node27,4557.349,679.2633
node28,4682.245,720.8838
node29,4824.6606,724.96
node30,4981.6514,701.6994
node31,5116.229,638.8274
node32,5264.7183,525.1378
node33,5391.277,495.1074
node34,5500.2627,370.4104
node35,5618.488,423.0695
node36,5727.3193,385.2066
node37,5848.9355,485.6708
node38,5982.886,466.0502
node39,6097.292,445.4282
node40,6203.7725,400.8978
node41,6304.2554,327.5066
node42,6444.2505,317.4045
node43,6613.2896,269.0158
node44,6782.512,259.837
node45,6960.768,372.5812
node46,7108.3174,303.6346
node47,7225.7734,415.7056
node48,7323.2104,509.863
node49,7439.9863,594.6582
node50,7547.864,663.8812
node51,7662.333,684.2328
node52,1379.8726,1383.9161
node53,1508.7794,1475.8833
node54,1594.4785,1487.055
node55,1730.5242,1497.9152
node56,1866.049,1520.6042
node57,1970.9766,1531.5526
node58,2108.802,1530.1204
node59,2268.9272,1510.6659
node60,2447.9216,1476.5322
node61,2638.667,1403.6024
node62,2812.9768,1340.2454
node63,2941.9482,1266.8528
node64,3031.5398,1221.6753
node65,3155.3584,1170.8765
node66,3261.7966,1125.3822
node67,3386.0295,1064.576
node68,3476.7207,1003.9809
node69,3581.9097,959.9547
node70,3693.6023,929.4491
node71,3758.69,894.0925
node72,3885.795,893.6552
node73,3986.0283,885.1028
node74,4075.038,887.4521
node75,4192.3286,876.6324
node76,4302.2686,896.1016
node77,4420.177,887.8865
node78,4559.4336,896.0627
node79,4686.3975,895.476
node80,4845.8833,898.0146
node81,5004.722,874.0482
node82,5112.465,815.6438
node83,5353.155,756.6396
node84,5444.9697,708.8014
node85,5549.7607,682.9756
node86,5650.4473,651.8083
node87,5752.8213,654.5244
node88,5859.9927,651.4378
node89,5992.377,650.6988
node90,6108.972,650.0224
node91,6215.015,644.9336
node92,6334.0435,643.8654
node93,6459.245,648.506
node94,6621.86,643.4052
node95,6787.5337,649.4616
node96,6956.0273,689.1436
node97,7020.069,705.7348
node98,7179.004,722.4207
node99,7292.8335,748.0204
node100,7426.03,786.1737
node101,7555.8706,838.8655
node102,7686.322,840.2947
node103,1301.2968,1395.5543
node104,1429.9144,1508.891
node105,1529.2878,1547.797
node106,1691.8665,1570.5961
node107,1846.6624,1581.0662
node108,1981.8688,1600.4221
node109,2097.7632,1596.8223
node110,2252.7932,1594.3809
node111,2412.0671,1556.2703
node112,2619.7747,1495.1172
node113,2796.0662,1417.3203
node114,2919.6702,1366.3124
node115,3036.404,1311.1125
node116,3172.046,1262.9692
node117,3286.0469,1206.188
node118,3384.661,1170.1481
node119,3483.8477,1128.9507
node120,3577.0076,1073.8896
node121,3689.138,1032.6544
node122,3774.442,1024.287
node123,3902.074,1015.3957
node124,3992.6057,1012.1747
node125,4090.3057,1002.3054
node126,4190.7183,998.3092
node127,4296.1274,999.1835
node128,4435.5874,1016.1591
node129,4563.1807,1009.6854
node130,4700.8696,1012.6928
node131,4847.073,1004.2343
node132,5002.652,995.118
node133,5159.194,941.6338
node134,5328.874,894.592
node135,5455.6855,844.3715
node136,5559.828,800.3504
node137,5658.002,771.5377
node138,5764.3096,773.6988
node139,5877.9624,772.4218
node140,5996.008,782.7174
node141,6114.8564,775.115
node142,6233.0186,772.3758
node143,6351.657,779.6394
node144,6486.984,778.6092
node145,6645.9595,790.2916
node146,6790.465,827.9024
node147,6915.4746,857.9946
node148,7061.118,849.5309
node149,7180.3433,861.9785
node150,7309.5337,903.4461
node151,7444.408,950.2619
node152,7577.891,960.9423
node153,7753.6265,932.4008
node154,1204.9716,1450.0339
node155,1327.0659,1569.3425
node156,1454.018,1605.0549
node157,1627.4896,1652.8033
node158,1803.5022,1677.6765
node159,1967.6724,1686.6254
node160,2074.4084,1700.2748
node161,2231.6724,1700.6326
node162,2392.105,1653.4246
node163,2579.4102,1606.2102
node164,2756.5361,1555.6116
node165,2903.4412,1497.0895
node166,3033.5923,1435.9764
node167,3149.016,1401.0181
node168,3275.1682,1365.0731
node169,3388.744,1326.352
node170,3488.0552,1278.0773
node171,3596.4153,1239.7153
node172,3689.0615,1227.3796
node173,3794.5227,1183.6072
node174,3916.4167,1172.6747
node175,4008.329,1168.7216
node176,4103.552,1179.47
node177,4208.8633,1159.5155
node178,4323.6113,1158.3906
node179,4445.919,1156.3809
node180,4590.3745,1177.0646
node181,4734.766,1150.0918
node182,4863.13,1158.2023
node183,5043.8076,1141.2395
node184,5165.84,1099.5217
node185,5297.609,1067.7935
node186,5446.7725,1026.2194
node187,5554.2544,973.6095
node188,5669.7783,953.1718
node189,5764.608,938.5928
node190,5890.3296,936.7698
node191,6027.4717,956.1774
node192,6144.6504,945.8301
node193,6262.67,944.7018
node194,6384.7056,972.2818
node195,6530.457,974.4593
node196,6672.4707,996.0462
node197,6815.8457,1015.1066
node198,6965.6577,1026.0768
node199,7073.5366,1052.1315
node200,7192.9062,1061.5901
node201,7324.4434,1074.7312
node202,7532.8345,1094.5377
node203,7643.1616,1096.5376
node204,7826.417,1047.0624
node205,1093.8931,1480.478
node206,1251.8026,1633.5205
node207,1369.3849,1674.9998
node208,1575.8577,1739.1993
node209,1750.841,1765.6322
node210,1926.6542,1781.1284
node211,2055.366,1771.0084
node212,2191.8398,1773.7974
node213,2370.557,1768.264
node214,2525.7327,1719.245
node215,2726.5583,1658.5715
node216,2879.901,1627.9497
node217,3005.9246,1571.6671
node218,3137.6458,1561.4545
node219,3247.279,1522.2583
node220,3379.493,1469.2603
node221,3482.1787,1432.2239
node222,3598.6975,1412.1985
node223,3683.0747,1389.3264
node224,3821.3196,1376.2634
node225,3919.288,1354.9055
node226,4020.43,1323.6862
node227,4125.92,1319.4354
node228,4238.1772,1331.184
node229,4355.6753,1336.7704
node230,4474.427,1352.6929
node231,4606.8657,1337.8931
node232,4748.731,1332.636
node233,4879.897,1291.1725
node234,5023.0933,1292.1892
node235,5162.5835,1260.9132
node236,5288.5415,1228.7014
node237,5427.8745,1193.6002
node238,5562.451,1167.8774
node239,5682.5166,1152.5115
node240,5801.3467,1149.988
node241,5931.113,1146.5931
node242,6065.473,1154.9863
node243,6172.9595,1150.6533
node244,6295.589,1168.8492
node245,6438.2373,1198.805
node246,6571.892,1191.8033
node247,6715.088,1196.2274
node248,6858.8496,1225.0024
node249,6994.1895,1214.9204
node250,7103.615,1205.6456
node251,7236.8833,1241.4573
node252,7394.302,1258.7426
node253,7591.847,1236.5841
node254,7714.4966,1238.4902
node255,7932.392,1158.1401
node256,985.1954,1537.0374
node257,1155.9219,1685.2406
node258,1307.1914,1755.2808
node259,1502.966,1795.4062
node260,1709.7554,1838.6248
node261,1882.7166,1866.4054
node262,2025.8566,1872.3708
node263,2151.3088,1861.6226
node264,2299.0503,1847.545
node265,2494.2078,1812.9592
node266,2670.4534,1783.5417
node267,2851.5422,1734.1877
node268,3004.7349,1704.16
node269,3128.1604,1673.0597
node270,3259.9604,1645.295
node271,3368.586,1603.9152
node272,3484.8467,1570.9562
node273,3610.9417,1551.809
node274,3696.2708,1521.1327
node275,3812.8247,1492.659
node276,3901.715,1496.5352
node277,4033.173,1475.8264
node278,4143.006,1466.6849
node279,4258.534,1453.0123
node280,4380.0605,1478.4542
node281,4477.781,1488.4894
node282,4627.8726,1464.1584
node283,4757.9336,1462.733
node284,4876.0864,1427.4873
node285,5022.5737,1414.3618
node286,5177.3267,1384.1783
node287,5298.23,1361.8115
node288,5427.393,1331.6671
