,x,y
node1,1475.5693,1369.4747
node2,1657.3422,1423.3876
node3,1852.351,1426.769
node4,2060.531,1440.3564
node5,2353.556,1436.5125
node6,2701.5947,1293.3385
node7,2925.7275,1145.8268
node8,3095.3438,1029.9629
node9,3309.274,933.8697
node10,3511.598,823.4773
node11,3692.3125,760.5793
node12,3883.507,708.395
node13,4090.7263,719.7354
node14,4300.826,709.7056
node15,4531.8096,735.3238
node16,4778.48,764.7092
node17,5080.9688,693.7523
node18,5361.7876,569.9148
node19,5554.1963,472.9117
node20,5748.595,482.3534
node21,5977.644,519.5236
node22,6191.4683,463.4109
node23,6423.941,422.5542
node24,6718.6895,364.7558
node25,7016.0967,415.7956
node26,7232.6006,485.6816
node27,7407.9585,635.3655
node28,7620.9546,741.3739
node29,1319.0695,1438.3475
node30,1537.2264,1553.2458
node31,1800.9452,1583.9594
node32,2062.0942,1604.0402
node33,2334.9133,1590.3451
node34,2641.9438,1494.7706
node35,2930.3447,1366.2716
node36,3154.5896,1272.341
node37,3363.7812,1188.0941
node38,3547.6543,1109.5178
node39,3736.3752,1022.338
node40,3940.7249,1016.5511
node41,4115.231,1011.1756
node42,4317.726,1011.1656
node43,4556.741,1008.4946
node44,4815.1177,1013.9363
node45,5087.7837,965.5447
node46,5382.505,864.5254
node47,5580.5615,792.5572
node48,5783.94,777.8352
node49,6001.903,794.1952
node50,6216.6987,773.3618
node51,6448.4336,791.0143
node52,6708.525,798.004
node53,6985.7417,838.3432
node54,7214.3994,880.6872
node55,7465.4014,930.1164
node56,7720.2744,953.4395
node57,1133.1437,1521.4003
node58,1399.9093,1670.6301
node59,1703.0056,1736.8024
node60,1997.7316,1772.2856
node61,2286.4578,1751.3088
node62,2598.892,1680.6031
node63,2894.7202,1580.4484
node64,3145.3796,1516.7426
node65,3375.328,1424.4221
node66,3569.245,1380.713
node67,3760.148,1326.0553
node68,3963.7017,1289.7339
node69,4136.6,1271.265
node70,4350.628,1290.6449
node71,4579.4062,1295.8635
node72,4851.281,1262.664
node73,5105.226,1222.6124
node74,5362.444,1159.0574
node75,5591.646,1099.8679
node76,5809.4727,1076.2876
node77,6040.216,1080.6473
node78,6274.8184,1110.5652
node79,6520.414,1121.7677
node80,6768.9346,1141.7906
node81,7028.4614,1156.1154
node82,7271.5874,1184.2675
node83,7560.1294,1200.2928
node84,7852.016,1151.4999
node85,934.9149,1611.8821
node86,1249.6263,1778.84
node87,1622.2714,1872.7598
node88,1933.6136,1918.3176
node89,2193.302,1911.3759
node90,2513.1128,1867.5468
node91,2850.2925,1807.6241
node92,3114.9453,1744.8762
node93,3336.9395,1672.7792
node94,3551.9712,1627.7784
node95,3760.852,1589.831
node96,3964.3489,1543.3079
node97,4174.643,1522.7172
node98,4393.4824,1540.7937
node99,4622.93,1532.2502
node100,4849.2705,1501.1354
node101,5097.226,1454.7253
node102,5352.2217,1415.329
node103,5604.881,1370.3522
node104,5852.724,1347.4958
node105,6104.6064,1369.0148
node106,6321.774,1397.9719
node107,6566.1265,1418.5098
node108,6824.654,1428.15
node109,7089.9175,1456.1646
node110,7365.668,1440.3423
node111,7679.476,1443.5023
