,x,y
node1,1461.207,1369.8021
node2,1673.5245,1433.3015
node3,1893.965,1425.4822
node4,2194.888,1447.242
node5,2560.0068,1391.871
node6,2857.8938,1200.5181
node7,3050.7988,1053.4009
node8,3284.5159,941.785
node9,3501.1685,820.8182
node10,3709.8943,749.8822
node11,3943.2212,705.751
node12,4166.4023,713.2588
node13,4421.567,708.7888
node14,4678.794,765.8328
node15,5021.344,730.1872
node16,5325.078,584.6854
node17,5539.0444,471.641
node18,5768.1797,477.9388
node19,6030.634,508.8782
node20,6258.171,443.4092
node21,6552.009,418.691
node22,6843.4727,393.3953
node23,7160.632,421.1555
node24,7371.7207,633.4967
node25,7619.1294,725.2901
node26,1293.6859,1461.8451
node27,1551.216,1616.0017
node28,1841.2332,1629.1982
node29,2140.4695,1632.3977
node30,2467.0793,1580.292
node31,2858.8066,1460.2191
node32,3112.4111,1350.2377
node33,3356.9597,1246.5273
node34,3558.8652,1170.5503
node35,3767.3152,1107.0189
node36,3982.714,1080.4486
node37,4193.7153,1068.5077
node38,4429.9766,1084.0872
node39,4736.3403,1075.4598
node40,5030.4707,1043.9803
node41,5358.8384,965.4528
node42,5577.1094,872.6772
node43,5818.9556,847.2025
node44,6048.002,848.9299
node45,6289.5015,852.2374
node46,6579.579,900.2663
node47,6858.7656,931.4948
node48,7140.669,951.4929
node49,7352.699,1012.9144
node50,7721.232,981.619
node51,1069.3864,1531.2825
node52,1408.3484,1743.9586
node53,1751.9622,1791.5828
node54,2097.678,1803.388
node55,2421.12,1760.6702
node56,2769.2983,1663.4141
node57,3078.697,1581.4619
node58,3340.905,1497.3076
node59,3565.0708,1423.4664
node60,3781.7395,1377.2484
node61,4009.745,1319.7753
node62,4221.2573,1339.6298
node63,4474.7046,1356.8363
node64,4751.3647,1353.5298
node65,5040.983,1308.0068
node66,5308.5557,1236.1997
node67,5587.3687,1161.3347
node68,5832.612,1150.8787
node69,6095.665,1171.1633
node70,6361.905,1204.8182
node71,6648.21,1199.2092
node72,6939.1807,1231.8663
node73,7242.897,1240.1815
node74,7507.4624,1285.6306
node75,7887.9185,1205.9576
