,x,y
node1,1458.793,1341.9612
node2,1612.4745,1400.6814
node3,1772.4852,1384.625
node4,1928.9978,1404.3076
node5,2142.619,1419.8212
node6,2369.484,1411.0236
node7,2672.679,1279.3386
node8,2869.0886,1155.0867
node9,3005.3384,1040.6503
node10,3167.416,949.9052
node11,3329.86,879.803
node12,3496.5713,794.5046
node13,3651.642,748.1098
node14,3808.3804,676.6201
node15,3989.953,670.88
node16,4154.381,684.6156
node17,4331.144,644.7536
node18,4521.53,691.7483
node19,4708.822,752.2426
node20,4956.308,714.6394
node21,5151.3813,622.4601
node22,5377.577,522.0118
node23,5542.4727,393.9619
node24,5715.634,432.78
node25,5884.4683,498.3322
node26,6068.7383,470.5826
node27,6238.2397,395.7872
node28,6435.771,362.5946
node29,6680.7397,295.215
node30,6906.689,381.166
node31,7125.908,358.5252
node32,7311.308,499.0474
node33,7467.1514,650.263
node34,7642.7944,700.2588
node35,1340.9692,1404.7251
node36,1511.5092,1545.5094
node37,1720.685,1562.3297
node38,1906.8312,1567.3417
node39,2113.7375,1579.7703
node40,2361.8826,1544.9441
node41,2620.628,1449.5105
node42,2880.7449,1357.874
node43,3055.66,1266.2856
node44,3255.5144,1197.4711
node45,3406.1875,1135.7064
node46,3563.748,1060.1588
node47,3708.5928,996.2924
node48,3864.4893,981.1495
node49,4005.658,966.3633
node50,4165.4204,969.8966
node51,4326.4487,981.0084
node52,4539.651,976.4108
node53,4745.478,982.0964
node54,4983.3267,957.0286
node55,5177.8555,896.1592
node56,5438.1064,802.005
node57,5583.62,756.1505
node58,5747.2056,733.6297
node59,5916.4805,730.2334
node60,6090.673,741.8808
node61,6263.0854,743.8482
node62,6452.473,739.3064
node63,6676.9746,764.1191
node64,6887.6,799.5495
node65,7077.4985,825.0882
node66,7284.687,849.6812
node67,7465.138,924.1188
node68,7705.676,902.5417
node69,1200.0779,1470.4243
node70,1397.0859,1623.3068
node71,1644.65,1677.6647
node72,1897.0356,1698.958
node73,2094.217,1710.6451
node74,2338.6028,1684.0977
node75,2594.1812,1609.7523
node76,2858.1877,1529.1486
node77,3046.2034,1444.711
node78,3234.993,1380.7992
node79,3412.2896,1340.5789
node80,3566.4175,1277.8823
node81,3721.2925,1216.3494
node82,3893.092,1181.9106
node83,4032.9832,1183.1134
node84,4182.557,1181.4369
node85,4367.414,1162.101
node86,4567.1797,1192.7167
node87,4786.7993,1169.7261
node88,5019.5737,1155.1345
node89,5220.1714,1114.503
node90,5429.761,1040.6849
node91,5584.1685,962.3153
node92,5754.3555,953.6868
node93,5940.6035,949.7166
node94,6121.081,965.3476
node95,6302.3237,968.046
node96,6516.251,991.6263
node97,6723.6406,1020.5197
node98,6940.0415,1029.0881
node99,7126.618,1071.2625
node100,7317.0063,1080.8593
node101,7569.979,1116.8307
node102,7821.435,1060.1892
node103,1028.5566,1524.28
node104,1283.1272,1729.2576
node105,1554.6078,1777.976
node106,1830.1862,1832.7042
node107,2068.0989,1856.6448
node108,2254.3093,1814.9504
node109,2518.739,1774.1266
node110,2807.0793,1693.949
node111,3022.2905,1648.598
node112,3212.3972,1607.6833
node113,3394.1697,1538.6655
node114,3563.7805,1500.0177
node115,3700.1316,1437.494
node116,3879.4229,1427.3358
node117,4050.65,1403.3757
node118,4223.3423,1400.7006
node119,4412.513,1405.9492
node120,4595.6904,1412.6259
node121,4809.3267,1419.7975
node122,5008.6973,1365.4712
node123,5210.8286,1328.6895
node124,5413.251,1289.5405
node125,5603.639,1226.5664
node126,5788.41,1211.6921
node127,5989.695,1238.1615
node128,6177.0464,1261.7893
node129,6362.3604,1279.832
node130,6554.673,1274.8816
node131,6781.2495,1303.325
node132,6973.9697,1313.0823
node133,7212.608,1302.8269
node134,7414.4087,1334.9366
node135,7673.093,1323.7697
node136,7949.4434,1228.4838
node137,872.5455,1612.1699
node138,1166.8424,1828.456
node139,1420.9382,1879.3898
node140,1790.9542,1944.3202
node141,2006.81,1964.0894
node142,2224.62,1945.3374
node143,2488.9412,1938.7322
node144,2748.3828,1873.6268
node145,2982.533,1840.3936
node146,3182.316,1787.697
node147,3372.712,1753.4458
node148,3548.554,1700.5652
node149,3719.6675,1661.9833
node150,3881.8152,1629.4915
node151,4071.7805,1595.8834
node152,4271.4805,1590.446
node153,4426.386,1604.8289
node154,4620.4233,1596.6511
node155,4792.029,1566.5779
node156,4996.6,1550.3785
node157,5219.8975,1521.7231
node158,5430.3076,1489.1289
node159,5606.3633,1460.6703
node160,5815.146,1439.4886
node161,6025.7925,1447.8145
node162,6222.3896,1461.8661
node163,6397.727,1483.7727
node164,6603.304,1500.6996
node165,6811.1406,1506.3253
node166,7029.464,1538.1798
node167,7234.6865,1537.2609
node168,7505.8906,1533.7948
node169,7766.4097,1503.6912
node170,8076.848,1401.2087
node171,729.1282,1766.867
node172,1053.2737,1940.346
node173,1377.9841,2019.5492
node174,1691.2325,2079.3328
node175,1934.1732,2096.7354
node176,2169.7163,2085.1875
node177,2431.1785,2065.523
node178,2706.8354,2028.0764
node179,2949.093,1996.455
node180,3155.426,1955.4156
node181,3350.5735,1926.8007
node182,3544.9707,1878.1248
node183,3707.2444,1843.2472
node184,3877.3071,1807.7556
node185,4048.5425,1813.3118
node186,4270.3853,1779.1796
node187,4447.9336,1767.393
node188,4615.0586,1763.2388
node189,4779.9976,1754.9124
