,x,y
node1,1461.1215,1329.7799
node2,1549.0597,1355.5288
node3,1640.0978,1386.139
node4,1740.8694,1376.1342
node5,1848.6008,1371.797
node6,1940.312,1386.0283
node7,2061.9438,1376.6282
node8,2206.9307,1406.124
node9,2375.2166,1405.8867
node10,2572.6394,1337.1133
node11,2721.1848,1231.6671
node12,2838.198,1157.7823
node13,2919.5962,1088.9193
node14,3005.615,1028.1066
node15,3101.1055,971.5165
node16,3215.8372,916.4543
node17,3314.4575,867.9581
node18,3416.208,804.9696
node19,3517.802,757.5268
node20,3617.7664,742.051
node21,3719.976,703.7434
node22,3813.5852,662.8354
node23,3927.317,644.5914
node24,4037.9353,655.5134
node25,4139.153,656.3272
node26,4245.071,656.2776
node27,4364.082,634.0968
node28,4483.9404,664.9804
node29,4602.8926,695.6352
node30,4716.4824,725.743
node31,4869.305,720.2388
node32,5013.106,690.7791
node33,5134.894,620.742
node34,5282.6396,531.764
node35,5397.7817,473.2889
node36,5501.663,384.6336
node37,5612.6704,408.7443
node38,5716.537,393.1234
node39,5825.877,472.8396
node40,5955.9443,480.9894
node41,6065.917,469.0373
node42,6162.2866,416.6388
node43,6259.105,348.268
node44,6377.1045,322.0833
node45,6526.953,320.9913
node46,6681.595,260.2092
node47,6832.0366,276.7456
node48,7008.492,341.2116
node49,7136.8774,321.9168
node50,7243.24,412.6709
node51,7335.116,521.3474
node52,7455.3726,592.9107
node53,7568.848,658.8324
node54,7660.484,694.1666
node55,1390.6824,1366.3086
node56,1488.9705,1423.2048
node57,1597.6296,1467.0796
node58,1719.3542,1477.5038
node59,1846.2208,1483.3352
node60,1936.204,1494.4048
node61,2068.2856,1512.8671
node62,2210.5266,1501.2971
node63,2354.0088,1491.7892
node64,2531.1636,1432.5715
node65,2704.973,1350.2292
node66,2856.0442,1274.5259
node67,2968.8516,1213.34
node68,3045.669,1149.6069
node69,3152.0159,1106.5173
node70,3267.3174,1056.8688
node71,3372.0757,1021.7116
node72,3457.7805,948.6564
node73,3555.6167,894.0389
node74,3646.9255,867.2551
node75,3734.4512,840.335
node76,3837.691,792.6364
node77,3952.842,824.5868
node78,4043.4688,828.6145
node79,4141.932,833.0912
node80,4238.815,825.6079
node81,4363.323,808.391
node82,4498.4165,825.2984
node83,4622.011,848.4603
node84,4734.694,866.0086
node85,4883.2275,859.5385
node86,5033.2524,823.5342
node87,5148.2812,758.9328
node88,5342.2407,685.5648
node89,5438.1035,655.0124
node90,5528.771,590.4854
node91,5628.2954,576.8322
node92,5728.3994,560.4344
node93,5839.521,616.9834
node94,5963.333,624.57
node95,6069.318,607.638
node96,6174.8413,598.7906
node97,6272.9746,564.785
node98,6400.701,576.6614
node99,6538.334,572.9366
node100,6686.6865,540.6928
node101,6821.3584,564.7057
node102,6977.209,572.3548
node103,7105.584,496.0602
node104,7237.3184,597.4774
node105,7322.0806,708.4013
node106,7430.633,749.9854
node107,7585.008,796.6044
node108,7695.8696,824.8108
node109,1310.2133,1398.6399
node110,1409.1105,1480.794
node111,1531.2225,1540.837
node112,1670.6136,1566.501
node113,1815.0378,1572.9526
node114,1932.503,1576.3091
node115,2052.1045,1593.4442
node116,2185.3198,1583.0306
node117,2349.9194,1569.6067
node118,2512.0515,1530.0437
node119,2701.4165,1452.2924
node120,2852.4573,1395.5487
node121,2961.4897,1354.2438
node122,3067.2566,1308.9789
node123,3187.5881,1244.2205
node124,3295.324,1201.5043
node125,3393.4543,1160.6304
node126,3489.2593,1120.9312
node127,3583.4297,1072.7722
node128,3674.285,1031.0828
node129,3752.6245,1017.8624
node130,3873.2527,1017.1398
node131,3969.723,1011.9617
node132,4059.255,1007.1474
node133,4159.524,996.5724
node134,4260.807,990.2521
node135,4371.6304,1004.1282
node136,4504.6167,1001.0681
node137,4634.0005,1002.8255
node138,4764.358,1001.9008
node139,4903.154,980.8093
node140,5038.4077,972.1191
node141,5187.4185,946.3276
node142,5359.5312,873.4991
node143,5466.8975,823.8302
node144,5556.152,793.9521
node145,5645.5815,770.5364
node146,5750.0903,761.6004
node147,5859.9775,771.641
node148,5968.154,765.4739
node149,6079.631,768.262
node150,6193.476,764.4696
node151,6304.0894,764.6941
node152,6422.7563,765.9152
node153,6556.1875,779.9601
node154,6699.7476,806.6017
node155,6842.594,825.664
node156,6980.9785,847.6649
node157,7082.7295,851.1353
node158,7204.08,871.8221
node159,7315.771,891.7927
node160,7451.6865,929.6373
node161,7626.8735,947.6575
node162,7742.984,927.1299
node163,1209.7257,1433.9502
node164,1318.6719,1527.6642
node165,1461.8732,1596.7185
node166,1605.5463,1636.9185
node167,1758.7726,1651.2122
node168,1907.9286,1656.7112
node169,2039.1976,1673.5142
node170,2175.1267,1675.8367
node171,2328.7773,1650.0104
node172,2483.0984,1626.3148
node173,2671.1182,1565.0029
node174,2827.2695,1510.4563
node175,2952.0974,1464.3055
node176,3066.044,1426.1216
node177,3176.9172,1371.1855
node178,3299.4827,1328.9497
node179,3397.6335,1291.7373
node180,3491.4004,1253.2186
node181,3589.4617,1226.1177
node182,3679.2805,1203.6091
node183,3786.19,1181.2261
node184,3898.3445,1160.8539
node185,3984.9055,1147.0889
node186,4070.4272,1151.8826
node187,4162.2,1140.988
node188,4277.674,1133.9895
node189,4388.6553,1143.3167
node190,4510.072,1148.7712
node191,4652.673,1138.2565
node192,4775.711,1127.5021
node193,4906.3247,1119.6503
node194,5055.4717,1110.09
node195,5185.4756,1088.7435
node196,5329.67,1034.343
node197,5454.0854,994.7059
node198,5551.4053,952.887
node199,5656.287,931.116
node200,5762.7715,922.4614
node201,5878.316,921.3207
node202,5994.147,922.9227
node203,6103.937,926.2728
node204,6214.426,913.7366
node205,6323.3926,924.782
node206,6451.6553,943.0879
node207,6589.1045,961.2468
node208,6722.3633,975.4727
node209,6864.178,990.6755
node210,6997.2104,1009.8981
node211,7110.2046,1013.4045
node212,7227.3105,1036.959
node213,7343.788,1047.4253
node214,7518.147,1076.1223
node215,7681.88,1063.128
node216,7809.244,1026.2408
node217,1108.5166,1475.1978
node218,1212.8204,1565.5797
node219,1385.2373,1646.6893
node220,1554.5278,1703.4294
node221,1716.7704,1740.1215
node222,1875.1014,1755.0466
node223,2012.7108,1752.3105
node224,2147.0232,1760.0734
node225,2286.2761,1737.5574
node226,2450.2754,1724.483
node227,2621.096,1675.0061
node228,2796.4502,1624.0629
node229,2924.016,1581.4102
node230,3058.8623,1547.5375
node231,3172.5862,1511.9838
node232,3286.3718,1462.8777
node233,3395.8892,1426.4855
node234,3490.0137,1396.5735
node235,3592.2017,1373.912
node236,3681.8003,1359.7301
node237,3798.7537,1342.414
node238,3903.1353,1319.7566
node239,3998.38,1287.0668
node240,4084.6184,1283.7664
node241,4182.013,1290.8491
