,x,y
node1,1461.3196,1308.3885
node2,1521.2982,1360.5005
node3,1580.8058,1343.6427
node4,1640.1907,1374.923
node5,1707.6022,1365.4669
node6,1789.706,1359.8141
node7,1856.9854,1344.6025
node8,1912.3418,1372.1711
node9,1978.1904,1361.7393
node10,2058.2263,1372.8287
node11,2149.4536,1381.8243
node12,2247.8655,1397.6605
node13,2398.1782,1415.2024
node14,2513.065,1362.9438
node15,2619.9185,1288.307
node16,2705.9783,1199.4105
node17,2806.744,1169.3578
node18,2867.7583,1129.2887
node19,2911.9324,1056.8503
node20,2977.0457,1028.3811
node21,3036.4634,988.1976
node22,3107.137,946.3421
node23,3196.138,914.9053
node24,3245.8474,859.8995
node25,3325.3987,843.6188
node26,3396.102,810.8956
node27,3458.0947,760.2882
node28,3527.2373,742.305
node29,3594.2605,739.0539
node30,3653.5603,717.8188
node31,3724.0,684.1746
node32,3793.9077,650.3821
node33,3874.4011,633.5518
node34,3946.982,634.1381
node35,4014.6812,647.6074
node36,4084.7437,631.8802
node37,4156.0923,634.9427
node38,4225.007,649.1852
node39,4303.162,598.3929
node40,4382.8325,623.9438
node41,4463.033,645.0635
node42,4543.995,654.7747
node43,4625.286,685.1282
node44,4707.2905,712.2912
node45,4799.4307,711.2578
node46,4879.9546,696.7304
node47,4985.1353,675.012
node48,5093.7607,657.593
node49,5169.185,564.9979
node50,5262.888,512.3268
node51,5353.1934,489.9222
node52,5411.3984,423.8514
node53,5482.9824,384.4145
node54,5549.396,339.9516
node55,5635.032,394.951
node56,5703.679,355.2141
node57,5777.1445,448.2106
node58,5860.5083,461.7874
node59,5945.3936,476.3878
node60,6013.4937,438.2409
node61,6088.3887,460.7724
node62,6145.532,387.8525
node63,6215.0996,329.9994
node64,6281.651,312.257
node65,6362.377,303.568
node66,6455.428,283.2819
node67,6563.4917,267.8908
node68,6672.9976,155.9776
node69,6784.639,195.3879
node70,6891.12,314.6802
node71,7017.925,285.5923
node72,7113.108,290.5773
node73,7178.796,342.0561
node74,7246.4336,407.4254
node75,7327.1914,407.7822
node76,7364.7646,561.8078
node77,7480.9233,539.2664
node78,7533.802,612.6756
node79,7589.7505,657.8921
node80,7670.5864,666.1848
node81,1400.3796,1343.7719
node82,1490.9595,1430.2905
node83,1543.6837,1453.9908
node84,1607.1661,1459.3793
node85,1684.5269,1463.991
node86,1729.0742,1468.5833
node87,1849.4642,1483.3567
node88,1914.9637,1486.8779
node89,1960.0135,1486.1887
node90,2059.6704,1491.6882
node91,2142.048,1495.216
node92,2271.673,1493.1808
node93,2388.6433,1474.2587
node94,2507.089,1421.1295
node95,2618.3127,1378.0991
node96,2755.6533,1334.1163
node97,2835.9272,1286.2551
node98,2904.3945,1230.4796
node99,2974.0295,1203.9688
node100,3031.6265,1167.0574
node101,3097.2305,1139.7153
node102,3165.182,1106.3463
node103,3247.09,1059.6483
node104,3317.355,1025.6926
node105,3377.2356,995.0241
node106,3457.1555,969.6919
node107,3521.732,934.6469
node108,3587.23,900.617
node109,3639.3376,870.4474
node110,3696.634,854.2453
node111,3764.914,830.4346
node112,3823.0557,812.4184
node113,3886.6497,840.9394
node114,3951.3289,848.2949
node115,4023.8604,831.3948
node116,4092.0183,829.4237
node117,4164.785,839.5267
node118,4217.977,833.0329
node119,4292.1133,829.6688
node120,4379.6445,825.5542
node121,4476.4893,833.3032
node122,4552.448,837.1476
node123,4633.0537,830.2988
node124,4713.2593,844.1573
node125,4797.752,846.7163
node126,4906.4995,827.7694
node127,5005.19,805.2463
node128,5094.459,774.7064
node129,5169.083,739.7694
node130,5297.9443,685.5534
node131,5404.8555,658.9557
node132,5470.0127,645.0536
node133,5563.246,595.2441
node134,5600.6465,599.3804
node135,5652.7544,592.9104
node136,5714.616,589.7792
node137,5787.2715,590.1779
node138,5869.4033,592.3064
node139,5965.801,588.9732
node140,6027.4385,599.3812
node141,6103.023,591.099
node142,6179.8325,596.455
node143,6236.2373,582.7862
node144,6315.872,561.0242
node145,6391.138,577.2231
node146,6484.2437,571.991
node147,6574.779,558.3927
node148,6681.6035,566.4618
node149,6786.3594,574.235
node150,6884.7974,570.4986
node151,6978.3306,575.6904
node152,7055.5254,592.635
node153,7119.459,605.0772
node154,7181.8457,629.5958
node155,7254.853,659.8014
node156,7328.924,696.6906
node157,7422.924,738.7912
node158,7500.8022,760.483
node159,7570.901,800.0562
