,x,y
node1,1455.0209,1307.1963
node2,1498.676,1343.5588
node3,1550.022,1335.8323
node4,1594.5516,1355.0643
node5,1645.5107,1365.1335
node6,1701.857,1362.1437
node7,1759.4196,1362.8324
node8,1816.468,1354.3247
node9,1872.166,1348.631
node10,1919.2968,1374.9376
node11,1968.4614,1365.275
node12,2027.6334,1359.8951
node13,2097.145,1354.3307
node14,2178.5525,1399.4951
node15,2248.3313,1401.3905
node16,2336.1738,1398.8402
node17,2453.6555,1390.9064
node18,2553.3313,1338.0474
node19,2618.4673,1272.0771
node20,2697.1855,1214.9312
node21,2776.3418,1175.2354
node22,2835.4941,1147.8984
node23,2875.2932,1112.299
node24,2912.9534,1059.8931
node25,2962.4524,1031.0068
node26,3010.2139,1002.3867
node27,3053.7905,968.591
node28,3112.9314,946.4276
node29,3178.3203,910.8168
node30,3227.8599,878.9895
node31,3280.384,846.8287
node32,3345.7146,816.4117
node33,3398.5745,797.0068
node34,3448.3477,771.0879
node35,3497.986,747.725
node36,3549.0708,741.4038
node37,3603.4023,738.3198
node38,3650.4832,715.0896
node39,3706.4375,690.7976
node40,3757.8557,670.2176
node41,3811.4304,646.4948
node42,3874.2715,631.3122
node43,3935.744,626.637
node44,3994.294,639.5332
node45,4049.9412,635.4201
node46,4099.651,633.9564
node47,4156.5845,625.8003
node48,4211.3164,644.3124
node49,4264.2305,611.73
node50,4328.5405,602.478
node51,4390.5044,627.5909
node52,4452.6016,642.2592
node53,4519.7324,633.1882
node54,4586.751,668.822
node55,4648.339,685.6022
node56,4709.4395,715.0342
node57,4777.879,703.6914
node58,4848.807,714.0562
node59,4921.1313,681.5074
node60,5004.9795,677.1023
node61,5078.8804,652.5331
node62,5142.65,613.4258
node63,5214.549,539.0084
node64,5281.849,490.8636
node65,5352.9976,485.9132
node66,5402.31,442.5716
node67,5458.1377,401.498
node68,5505.7705,350.1212
node69,5560.0767,345.3176
node70,5628.873,366.9833
node71,5692.8267,354.2547
node72,5743.853,392.4369
node73,5803.449,470.7876
node74,5864.4087,459.734
node75,5928.9624,476.4023
node76,5993.204,438.0724
node77,6049.257,462.0081
node78,6101.713,443.8445
node79,6146.1255,385.046
node80,6203.183,370.1234
node81,6250.4106,311.7858
node82,6300.782,259.1999
node83,6373.8813,286.612
node84,6441.871,267.7208
node85,6522.8975,310.2521
node86,6610.593,193.9278
node87,6699.968,156.9655
node88,6780.213,185.3406
node89,6860.6074,257.3372
node90,6968.159,310.2606
node91,7051.787,300.5813
node92,7133.6826,254.2039
node93,7168.88,351.9944
node94,7230.024,379.12
node95,7285.0537,401.7778
node96,7331.09,449.988
node97,7378.625,529.3344
node98,7460.3286,547.4032
node99,7525.244,591.2492
node100,7566.0977,648.5233
node101,7618.972,656.7958
node102,7671.5,664.7664
node103,1409.9957,1324.4844
node104,1464.5684,1375.0193
node105,1527.4302,1384.4694
node106,1574.5197,1404.5642
node107,1632.1522,1420.9304
node108,1685.2012,1420.8867
node109,1741.6414,1394.7145
node110,1825.8708,1377.4698
node111,1870.408,1438.8438
node112,1913.093,1443.7819
node113,1959.6528,1435.4214
node114,2021.5948,1407.928
node115,2111.6328,1429.8953
node116,2162.4849,1463.0219
node117,2248.8247,1446.1542
node118,2350.1633,1451.545
node119,2456.8525,1426.875
node120,2554.0688,1399.5497
node121,2633.2222,1339.5295
node122,2716.1672,1276.3403
node123,2802.133,1251.7848
node124,2848.1987,1210.1273
node125,2887.1892,1153.7418
node126,2950.1995,1130.6786
node127,3000.5623,1110.3273
node128,3037.9321,1076.83
node129,3072.2664,1018.5931
node130,3140.2505,1002.6814
node131,3223.814,1004.2108
node132,3266.804,978.6091
node133,3320.5852,946.1323
node134,3377.4487,917.6773
node135,3420.4297,870.3768
node136,3475.3147,846.1935
node137,3501.4456,777.2238
node138,3563.2888,782.7676
node139,3625.172,801.0662
node140,3667.1003,781.589
node141,3720.1785,745.776
node142,3770.4055,735.1007
node143,3819.275,718.0688
node144,3877.2395,671.74
node145,3942.0647,690.4082
node146,4000.206,721.6386
node147,4056.4863,726.14
node148,4105.3745,743.4898
node149,4154.858,725.7301
node150,4208.9175,758.5088
node151,4262.2676,714.0728
node152,4322.644,658.8785
node153,4393.9,706.2538
node154,4455.0967,738.7058
node155,4517.125,740.0982
node156,4586.473,772.4535
node157,4650.4106,776.3506
node158,4711.376,802.135
node159,4774.9536,792.8045
node160,4849.0576,784.9636
node161,4933.2456,766.8972
node162,5010.4683,753.44
node163,5087.825,729.2484
node164,5147.476,673.6124
node165,5236.15,591.8572
node166,5315.4834,583.0572
node167,5389.0273,603.4645
node168,5424.1396,543.161
node169,5469.8687,452.4396
node170,5529.7935,436.5303
node171,5590.7896,485.2024
node172,5643.2144,514.687
node173,5688.1147,459.2618
node174,5748.944,485.0774
node175,5802.8994,555.2906
node176,5868.221,525.6828
node177,5942.5493,558.3244
node178,5997.397,528.4586
node179,6058.613,551.9598
node180,6111.5723,535.3178
node181,6160.542,491.7758
node182,6217.3174,494.3194
node183,6269.6724,455.047
node184,6321.372,415.1217
node185,6398.1904,434.2399
node186,6466.1914,462.8346
node187,6540.6465,492.293
node188,6614.125,428.7008
node189,6700.9614,411.0687
node190,6782.5664,395.3088
node191,6866.7793,397.3324
node192,6945.18,472.4036
node193,7017.7617,449.5685
node194,7108.324,387.1532
node195,7139.928,493.459
node196,7202.149,475.8526
node197,7253.272,515.7622
node198,7301.342,570.5577
node199,7347.8745,636.4513
node200,7419.733,664.6702
node201,7496.5,679.5372
node202,7546.989,719.0968
node203,7615.499,743.2052
node204,7672.371,755.5542
node205,1383.1982,1365.0947
node206,1426.7833,1408.7142
node207,1494.4554,1443.73
node208,1543.7938,1458.2959
node209,1602.1255,1466.6831
node210,1655.6896,1463.054
node211,1726.9172,1483.6012
node212,1804.7039,1497.6938
node213,1854.251,1494.2576
node214,1910.3644,1500.5837
node215,1953.6382,1504.4574
node216,2046.1334,1524.0826
node217,2104.176,1518.9045
node218,2173.165,1511.1226
node219,2256.0728,1505.9635
node220,2323.3162,1496.3721
node221,2426.6511,1477.3795
node222,2538.6367,1442.6409
node223,2633.4338,1403.7765
node224,2704.553,1360.124
node225,2786.4297,1335.1722
node226,2842.5234,1286.2589
node227,2909.595,1254.0986
node228,2976.2366,1221.6074
node229,3012.0205,1198.0049
node230,3054.8394,1170.7882
node231,3126.69,1150.9187
node232,3178.3257,1129.798
node233,3242.1924,1111.8116
node234,3295.8328,1071.9012
node235,3359.494,1042.2253
node236,3409.2893,1025.0775
node237,3456.8577,988.3618
node238,3509.0308,960.3608
node239,3560.4436,949.0627
node240,3600.7144,918.4271
node241,3651.6255,886.6113
node242,3697.6292,881.4307
node243,3738.3157,871.6454
node244,3789.9387,857.8961
node245,3848.517,854.0741
node246,3897.9104,853.0291
node247,3950.0903,854.5643
node248,4008.1335,857.4152
node249,4060.8655,858.5054
node250,4112.9907,860.2571
node251,4163.4775,855.9386
node252,4207.417,852.5681
node253,4254.167,848.8564
node254,4322.9897,860.2683
node255,4387.553,854.3303
node256,4462.7036,855.2221
node257,4522.751,862.5383
node258,4584.7075,870.5319
node259,4657.4683,879.0006
node260,4720.0713,866.7467
node261,4790.5713,873.9016
node262,4862.9307,882.8934
node263,4944.3086,863.8886
node264,5028.5312,833.2292
node265,5098.797,817.2848
node266,5139.755,799.1336
node267,5224.7837,742.456
node268,5350.0776,704.9759
node269,5403.9873,685.7815
node270,5458.177,675.0017
node271,5498.3184,665.6206
node272,5562.9863,650.9604
node273,5602.6025,626.091
node274,5647.458,608.3561
node275,5692.2104,624.594
node276,5750.6074,618.5408
node277,5808.439,618.9613
node278,5869.743,628.3087
node279,5951.7534,636.213
node280,6000.592,627.8568
node281,6053.1934,623.7194
node282,6114.8794,622.8009
node283,6177.7124,619.875
node284,6234.086,613.3711
node285,6281.002,609.2994
node286,6348.4717,605.0612
node287,6411.2964,610.0266
node288,6471.145,607.4434
node289,6549.3086,607.339
node290,6637.8794,609.8496
node291,6715.292,592.7338
node292,6788.344,608.4592
node293,6837.1025,610.7004
node294,6942.1904,609.9651
node295,7011.556,635.5498
node296,7059.268,616.8905
node297,7116.303,619.9236
