,x,y
node1,1472.7451,1350.5049
node2,1637.4615,1408.4318
node3,1821.0522,1404.0042
node4,1986.2742,1416.9679
node5,2245.0066,1438.8823
node6,2565.3813,1361.7673
node7,2816.3342,1202.1831
node8,2976.8425,1078.7065
node9,3143.9766,980.4059
node10,3318.9895,897.4673
node11,3500.7693,800.029
node12,3673.1812,749.7491
node13,3843.5093,677.6784
node14,4037.8516,693.2223
node15,4217.717,682.699
node16,4422.003,671.125
node17,4632.2803,741.0276
node18,4888.802,740.9772
node19,5103.804,659.252
node20,5367.922,546.0094
node21,5545.508,419.4824
node22,5732.2207,445.4702
node23,5928.935,502.2548
node24,6123.621,452.9502
node25,6309.421,388.047
node26,6562.3984,348.9654
node27,6798.7983,349.7342
node28,7082.2114,354.1426
node29,7284.1655,485.3422
node30,7441.2046,661.4196
node31,7641.119,711.5536
node32,1338.068,1408.3654
node33,1523.5502,1560.5782
node34,1750.7954,1573.3777
node35,1986.1624,1595.8705
node36,2212.8745,1588.4172
node37,2488.6765,1513.5355
node38,2806.8657,1402.5521
node39,3022.8958,1323.9828
node40,3222.5688,1236.426
node41,3394.8467,1170.0717
node42,3566.5703,1096.4319
node43,3722.8477,1020.5632
node44,3909.7007,1019.3093
node45,4053.502,1004.1113
node46,4239.335,998.8226
node47,4438.5933,1015.993
node48,4667.5356,1006.5753
node49,4907.4907,992.9506
node50,5152.028,937.058
node51,5421.713,848.2285
node52,5581.1855,791.1733
node53,5763.2266,764.8292
node54,5949.14,766.2306
node55,6146.0034,767.8736
node56,6341.7085,776.2032
node57,6567.0093,789.9618
node58,6816.436,833.5162
node59,7040.752,847.5963
node60,7250.802,876.8107
node61,7435.465,937.4587
node62,7715.961,928.6785
node63,1171.02,1477.5731
node64,1413.6831,1651.2716
node65,1671.1947,1700.073
node66,1955.4012,1728.55
node67,2184.6199,1737.8306
node68,2439.0474,1680.3387
node69,2747.2065,1582.9032
node70,2983.1953,1505.2874
node71,3194.867,1442.2124
node72,3396.3083,1381.546
node73,3573.4375,1324.1516
node74,3744.2556,1275.8705
node75,3932.8552,1227.708
node76,4079.5688,1219.3287
node77,4269.272,1220.9858
node78,4455.1724,1249.6505
node79,4682.576,1216.416
node80,4917.081,1213.736
node81,5151.7188,1163.414
node82,5410.4897,1089.5427
node83,5588.127,1031.0962
node84,5780.797,1005.465
node85,5983.965,1010.9592
node86,6185.1416,1025.589
node87,6389.428,1046.222
node88,6628.023,1065.8119
node89,6864.5967,1086.4368
node90,7082.76,1095.2999
node91,7298.58,1121.8375
node92,7564.8335,1153.4952
node93,7845.1665,1106.3513
node94,974.4254,1552.9976
node95,1296.8389,1766.4856
node96,1571.9813,1809.319
node97,1872.4304,1879.218
node98,2121.4158,1884.8594
node99,2398.7031,1841.4412
node100,2671.4446,1792.857
node101,2949.1648,1725.071
node102,3169.871,1665.9492
node103,3360.0547,1619.976
node104,3557.6543,1566.4784
node105,3727.6528,1526.6575
node106,3906.862,1478.9778
node107,4104.2495,1469.4695
node108,4297.7144,1479.0197
node109,4492.302,1473.0818
node110,4710.3174,1479.2202
node111,4933.1963,1436.8173
node112,5156.568,1386.5522
node113,5366.6865,1348.3005
node114,5605.4155,1294.3016
node115,5818.8027,1261.7759
node116,6048.5913,1315.2936
node117,6248.9326,1325.7366
node118,6450.3496,1346.1025
node119,6686.7305,1362.6504
node120,6907.86,1368.7828
node121,7156.674,1374.21
node122,7394.875,1380.3279
node123,7672.519,1398.565
node124,7988.1465,1284.9403
node125,822.9268,1681.1412
node126,1184.1602,1889.92
node127,1443.3372,1952.6996
node128,1808.409,1994.3406
node129,2061.0896,2007.754
node130,2333.311,1989.7982
node131,2629.0742,1968.1385
node132,2907.106,1908.3806
node133,3145.1868,1855.6368
node134,3358.3225,1809.139
node135,3538.074,1775.7115
node136,3732.7883,1753.8198
node137,3916.0105,1710.1254
node138,4094.0264,1645.4491
node139,4323.615,1668.5934
node140,4498.7627,1685.7584
node141,4698.8853,1669.3732
node142,4928.7153,1634.9702
node143,5163.0386,1593.8198
node144,5380.8237,1563.7136
node145,5611.2515,1540.5839
node146,5838.7173,1530.1967
node147,6076.633,1524.5131
node148,6288.91,1550.3923
node149,6507.2227,1560.94
node150,6727.1704,1584.6666
node151,6984.6167,1601.1062
